balcony_area,built_up_area,carpet_area,land_area,distance_to_main_road,nearby_hospital_distance,nearby_market_distance,nearby_metro_distance,nearby_playground_distance,building_age,water_supply_hours,year_built,maintenance_fee,property_tax,service_charge,price,view_count,photo_count,balconies,baths,beds,floor,number_of_units,parking_spaces,total_floors,elevator,furnished,gas_connection,generator,internet_available,power_backup,security_guard,servant_room,road_width,facing_direction,kitchen_type,locality,type
93.5,1564.25,1404.98,1865.38,400.0,170.0,900.0,240.0,440.0,30.0,10.0,1996,36.07,475.09,18.99,4877467.48,3866,30,3,5,4,20,194,3,20,False,False,False,False,True,False,False,False,42.0,south,dedicated,Motijheel,apartment
145.07,2124.61,1866.49,2352.07,435.0,100.0,480.0,330.0,610.0,9.0,22.0,2017,75.32,898.19,40.16,17527035.09,2814,28,3,4,4,3,86,1,6,True,True,True,True,True,False,False,False,75.0,north,dedicated,Banani,condominium
87.83,1097.93,912.28,1731.95,415.0,950.0,600.0,1410.0,950.0,39.0,20.0,1987,31.42,358.5,11.32,2330186.35,4900,19,2,2,2,1,1,1,1,False,True,False,True,False,False,False,False,53.0,north,inline,Jatrabari,duplex
245.92,7672.34,6405.56,13014.47,650.0,350.0,550.0,590.0,440.0,14.0,17.0,2012,304.35,4990.73,143.34,69362926.71,3742,19,3,5,5,1,1,3,3,False,True,False,True,True,True,True,False,78.0,south,dedicated,Bashundhara,villa
77.85,1917.11,1490.12,2242.4,465.0,700.0,320.0,430.0,600.0,7.0,11.0,2019,51.52,647.21,38.28,9314901.13,3767,21,3,4,4,9,162,1,16,True,True,False,False,False,False,False,False,66.0,north,dedicated,Shyamoli,condominium
52.31,1332.53,1151.74,1442.4,780.0,110.0,190.0,360.0,530.0,28.0,17.0,1998,35.73,350.61,26.19,4808044.53,984,8,3,3,3,9,195,2,21,True,True,True,True,True,True,False,False,59.0,west,inline,Kafrul,apartment
48.32,1410.4,1258.6,1533.42,305.0,920.0,510.0,400.0,730.0,12.0,11.0,2014,35.74,220.19,15.55,4033580.28,2366,33,2,3,2,14,165,3,23,True,False,False,False,False,True,False,True,64.0,west,dedicated,Lalbagh,condominium
412.95,8056.39,7170.6,13727.82,440.0,530.0,630.0,440.0,70.0,30.0,14.0,1996,297.02,5016.67,202.33,61347089.05,219,21,3,4,4,2,1,2,2,False,True,False,False,True,True,True,True,31.0,east,dedicated,Baridhara,villa
139.95,2361.35,1835.3,2704.26,550.0,590.0,610.0,50.0,620.0,34.0,8.0,1992,103.57,1167.49,37.34,13430445.59,4133,32,3,6,5,3,130,1,21,True,True,True,True,False,False,True,False,33.0,south,dedicated,Niketon,apartment
51.91,1651.03,1358.31,1889.6,535.0,510.0,520.0,230.0,270.0,35.0,13.0,1991,52.81,386.55,28.83,4811834.51,3449,25,3,4,3,12,50,1,13,True,False,False,False,True,False,False,False,47.0,south,dedicated,Shyamoli,apartment
69.41,1274.07,1146.45,1366.17,1065.0,1480.0,1270.0,840.0,250.0,20.0,13.0,2006,28.71,398.87,15.19,3714476.89,3656,10,3,4,3,16,98,1,23,True,False,True,False,False,False,False,False,74.0,east,inline,Tejgaon,condominium
468.61,6783.95,5164.11,10326.96,735.0,250.0,190.0,370.0,130.0,20.0,20.0,2006,179.69,1964.74,71.65,34222718.34,2050,37,3,7,6,1,1,3,4,False,False,True,True,True,False,False,False,42.0,north,dedicated,Mohammedpur,villa
60.19,1431.72,1206.88,1699.34,595.0,1310.0,1500.0,340.0,700.0,40.0,14.0,1986,29.18,402.48,13.91,2899931.5,3292,21,3,4,3,4,128,3,10,True,False,False,True,True,True,False,False,41.0,south,dedicated,Malibagh,condominium
89.72,1192.94,983.59,1303.8,370.0,1460.0,900.0,890.0,1390.0,32.0,9.0,1994,32.75,363.4,11.25,2717552.56,2467,25,2,3,2,10,100,0,13,True,False,False,False,True,False,False,True,32.0,east,inline,Badda,condominium
130.04,1646.1,1413.39,1967.24,1425.0,990.0,630.0,1040.0,1030.0,6.0,17.0,2020,36.15,447.3,21.0,4438543.14,421,6,3,4,3,12,33,0,23,True,False,False,False,False,False,False,False,28.0,north,dedicated,Tejgaon,apartment
301.63,3893.58,3136.87,7019.02,980.0,460.0,420.0,270.0,210.0,9.0,16.0,2017,143.91,1423.85,56.64,21547147.42,4941,5,3,6,6,2,1,3,4,False,False,True,False,True,True,True,False,79.0,south,dedicated,Kafrul,bungalow
73.79,1828.49,1581.23,2725.12,85.0,390.0,530.0,530.0,360.0,31.0,9.0,1995,97.53,623.32,41.5,11122889.85,405,37,3,4,3,2,1,1,2,False,True,True,True,True,True,True,False,52.0,north,dedicated,Banani,duplex
70.51,1293.38,1103.14,1534.53,900.0,840.0,470.0,460.0,760.0,23.0,14.0,2003,33.95,341.09,16.98,5710890.14,3935,8,2,2,2,2,92,2,8,True,True,True,True,True,True,False,True,57.0,west,inline,Kafrul,condominium
202.65,3416.11,2847.18,5858.74,230.0,330.0,200.0,410.0,550.0,37.0,8.0,1989,166.2,1738.04,85.83,21304502.81,2240,5,3,6,5,3,1,2,3,True,True,True,True,True,True,True,True,69.0,south,dedicated,Baridhara,townhouse
95.34,1516.6,1170.03,1608.25,225.0,370.0,480.0,340.0,230.0,14.0,18.0,2012,79.85,699.48,25.34,11184160.33,4908,35,3,4,3,21,17,3,29,True,True,True,False,True,True,True,True,23.0,north,dedicated,Dhanmondi,condominium
59.98,1478.83,1175.98,2128.34,930.0,620.0,880.0,620.0,740.0,13.0,6.0,2013,41.93,303.48,16.49,6576029.86,3819,27,2,3,2,2,1,1,3,False,True,True,True,True,False,True,False,62.0,east,dedicated,Mohammedpur,duplex
174.55,2593.96,2284.19,2809.87,550.0,540.0,370.0,540.0,340.0,18.0,9.0,2008,149.74,1396.17,60.87,22253444.92,2639,13,3,4,4,6,29,2,30,True,False,False,False,True,True,True,False,64.0,north,dedicated,Baridhara,penthouse
31.86,699.96,578.24,782.41,310.0,250.0,1040.0,1120.0,1490.0,11.0,24.0,2015,16.0,152.75,8.45,2139227.01,3223,30,1,2,1,3,83,0,7,True,False,False,False,True,False,True,True,19.0,south,inline,Mirpur 1,apartment
63.43,992.42,758.38,1084.34,705.0,760.0,850.0,720.0,570.0,35.0,21.0,1991,32.67,288.26,14.13,3119004.58,1526,17,2,3,2,28,178,1,29,False,False,True,False,True,True,False,True,50.0,south,inline,Shyamoli,apartment
116.81,3331.96,2921.01,6167.69,650.0,810.0,780.0,310.0,320.0,2.0,23.0,2024,130.99,1419.4,59.45,20338986.43,4722,32,3,6,6,1,1,3,1,False,True,True,False,True,False,False,True,37.0,west,dedicated,Kalabagan,villa
83.65,1388.83,1083.23,2663.02,740.0,690.0,720.0,700.0,310.0,22.0,23.0,2004,25.51,234.13,13.74,3783477.3,2796,13,2,2,2,1,1,0,1,False,False,True,False,True,False,False,False,43.0,south,inline,Mirpur 1,duplex
135.11,2223.34,1823.95,2636.61,425.0,240.0,520.0,50.0,280.0,33.0,17.0,1993,104.76,1224.13,39.6,12353197.3,3004,8,3,7,6,3,65,2,6,True,True,True,True,True,True,True,False,46.0,north,dedicated,Cantonment,apartment
98.84,2003.04,1515.36,2215.36,530.0,220.0,260.0,740.0,950.0,0.0,24.0,2026,41.54,796.77,24.07,12036781.78,2635,23,3,4,4,1,101,0,29,True,False,False,True,True,True,False,True,65.0,east,dedicated,Mohammedpur,condominium
125.75,1720.04,1363.85,1818.38,640.0,590.0,840.0,390.0,170.0,15.0,7.0,2011,57.14,603.14,22.47,7619840.52,3686,26,3,5,4,11,79,3,26,True,False,True,False,True,True,False,False,66.0,east,dedicated,Mohammedpur,condominium
83.16,1074.5,963.83,1140.32,1190.0,890.0,950.0,720.0,1040.0,31.0,13.0,1995,20.14,309.39,8.97,2234453.37,3220,39,2,2,2,13,103,3,26,True,True,True,False,True,False,False,False,58.0,south,inline,Mirpur 1,apartment
81.41,1492.13,1324.22,1594.18,130.0,140.0,180.0,560.0,70.0,20.0,15.0,2006,69.56,897.32,30.64,10734472.21,756,8,3,3,3,8,54,2,8,False,False,True,True,True,True,False,False,24.0,south,dedicated,Bashundhara,condominium
249.86,4294.57,3763.67,8101.29,95.0,340.0,90.0,360.0,180.0,27.0,11.0,1999,207.0,2445.27,84.55,28669963.54,2879,29,3,7,6,1,1,3,1,True,True,True,False,True,True,True,True,67.0,east,dedicated,Niketon,triplex
75.87,2048.06,1674.16,2832.24,190.0,80.0,280.0,370.0,620.0,4.0,23.0,2022,101.64,1026.61,45.18,19749114.16,3580,12,3,4,3,4,1,2,4,False,True,True,False,True,False,True,True,39.0,east,dedicated,Cantonment,duplex
107.84,1870.32,1457.35,2614.32,635.0,790.0,820.0,990.0,870.0,34.0,8.0,1992,37.26,337.54,22.63,4783169.02,2501,25,3,3,3,3,1,3,4,False,False,False,False,True,True,False,False,15.0,north,dedicated,Jatrabari,duplex
46.9,1213.11,966.93,1439.74,1415.0,560.0,1230.0,360.0,1080.0,28.0,12.0,1998,25.11,368.11,18.02,2858856.03,1249,22,3,4,3,12,183,1,16,True,False,True,False,False,False,False,False,45.0,east,inline,Rampura,apartment
167.02,2177.67,1906.85,2991.29,830.0,760.0,400.0,680.0,750.0,40.0,11.0,1986,44.17,596.15,29.12,8111016.38,1632,15,3,4,4,4,1,2,4,True,False,True,False,True,False,False,False,76.0,east,dedicated,Motijheel,townhouse
96.89,2469.26,2099.83,3559.18,495.0,630.0,650.0,550.0,500.0,12.0,9.0,2014,121.39,1081.11,71.88,18438898.37,1144,34,3,5,5,1,1,2,3,True,False,True,False,True,True,True,True,20.0,south,dedicated,Nikunja,townhouse
434.03,6191.67,5347.14,7268.03,185.0,110.0,430.0,380.0,580.0,7.0,8.0,2019,269.98,2918.13,140.54,53864177.34,3837,23,3,5,4,8,184,2,30,True,True,True,True,True,True,True,True,34.0,east,dedicated,Cantonment,penthouse
80.36,1177.0,1037.27,1241.54,800.0,990.0,230.0,310.0,920.0,27.0,20.0,1999,37.1,462.72,18.57,4710461.52,1990,23,2,2,2,14,167,0,27,True,True,True,False,True,True,False,False,28.0,west,inline,Motijheel,condominium
388.1,5813.37,4875.96,8509.82,645.0,680.0,420.0,410.0,140.0,7.0,21.0,2019,216.76,3153.84,104.93,59819499.31,3089,9,3,6,5,4,1,2,4,True,False,True,True,True,True,True,True,70.0,west,dedicated,Cantonment,bungalow
102.81,2608.9,2298.55,4813.69,800.0,580.0,440.0,420.0,340.0,40.0,16.0,1986,78.94,586.09,39.06,10404222.12,3896,24,3,6,5,2,1,1,2,False,False,False,True,False,True,True,False,26.0,west,dedicated,Motijheel,townhouse
88.71,1156.07,912.27,1314.3,415.0,590.0,230.0,270.0,900.0,4.0,19.0,2022,46.02,382.64,22.63,6545763.59,658,7,2,3,2,10,49,1,19,True,False,False,False,True,False,False,False,45.0,west,inline,Farmgate,condominium
55.56,1052.29,823.74,1114.45,185.0,270.0,230.0,570.0,830.0,40.0,8.0,1986,26.67,308.6,14.7,3342816.31,4678,19,3,3,3,22,167,3,26,False,True,True,True,False,True,False,False,67.0,west,inline,Shyamoli,apartment
52.58,1516.3,1309.99,1678.38,1400.0,560.0,1090.0,910.0,1060.0,9.0,11.0,2017,26.82,231.9,21.04,4023937.95,1231,29,3,3,3,16,24,3,23,True,False,True,False,False,False,False,False,73.0,east,dedicated,Rampura,apartment
106.75,2170.06,1803.51,2519.36,280.0,330.0,660.0,490.0,480.0,34.0,15.0,1992,70.68,1300.46,52.69,13863102.87,722,21,3,4,4,24,30,3,28,True,True,True,True,True,True,False,True,55.0,east,dedicated,Baridhara,condominium
50.71,849.51,716.78,916.9,430.0,610.0,720.0,1160.0,1020.0,1.0,15.0,2025,25.07,179.33,11.35,2544183.16,3268,27,2,3,2,3,87,3,9,True,False,True,False,False,False,False,False,34.0,west,inline,Jatrabari,apartment
318.36,4797.41,3617.43,9417.0,650.0,320.0,620.0,70.0,680.0,14.0,16.0,2012,244.9,2507.52,130.42,41031740.61,945,19,3,6,6,2,1,3,2,False,True,True,True,True,True,True,True,53.0,east,dedicated,Bashundhara,triplex
160.86,2053.31,1739.17,3214.53,310.0,1150.0,1280.0,650.0,650.0,8.0,23.0,2018,54.95,442.09,23.42,5902812.47,3756,24,3,4,4,1,1,1,4,True,False,True,False,False,False,False,True,19.0,east,dedicated,Paltan,duplex
85.98,2249.79,1915.85,2694.31,510.0,540.0,180.0,580.0,90.0,11.0,13.0,2015,74.36,832.67,63.17,17496251.96,3798,11,3,6,5,9,54,1,13,True,False,True,True,True,True,False,False,43.0,east,dedicated,Baridhara,condominium
57.54,1611.14,1303.22,2543.66,900.0,1410.0,1390.0,430.0,420.0,32.0,15.0,1994,31.15,496.03,14.34,3791937.9,2991,4,3,4,4,2,1,2,4,False,True,True,True,False,False,False,False,38.0,west,dedicated,Jatrabari,duplex
264.82,3850.12,3461.62,5790.65,550.0,1480.0,1320.0,1080.0,320.0,1.0,11.0,2025,113.35,1240.78,51.56,16333573.01,1089,12,3,5,5,3,1,1,3,False,False,False,False,False,False,False,False,79.0,south,dedicated,Wari,bungalow
91.8,1489.72,1149.06,1704.5,505.0,570.0,600.0,310.0,680.0,8.0,17.0,2018,81.56,627.28,33.4,10852489.8,4533,40,2,3,2,15,29,2,18,True,False,False,True,True,True,False,False,18.0,east,dedicated,Gulshan,apartment
286.43,4139.45,3166.41,6824.82,455.0,540.0,520.0,330.0,110.0,28.0,7.0,1998,136.0,1362.82,75.34,32249216.27,4305,32,3,5,4,1,1,1,1,False,False,True,False,True,True,True,True,57.0,west,dedicated,Cantonment,villa
59.8,1442.8,1185.49,1534.28,1000.0,480.0,780.0,1370.0,380.0,16.0,23.0,2010,24.31,311.52,18.72,3667289.5,1195,19,3,3,3,2,90,1,9,True,False,False,True,False,False,True,False,26.0,west,dedicated,Badda,apartment
35.43,1130.31,1007.32,1330.44,1415.0,1320.0,370.0,940.0,680.0,22.0,24.0,2004,28.53,371.83,14.94,3118324.96,186,8,2,3,2,4,142,0,15,True,False,False,True,True,True,False,True,72.0,north,inline,Jatrabari,condominium
68.06,1236.26,1043.75,1375.11,770.0,510.0,1440.0,520.0,1400.0,35.0,12.0,1991,20.69,198.19,14.95,2673906.37,1488,11,2,3,2,13,31,2,28,True,True,False,False,True,True,False,False,56.0,north,inline,Badda,apartment
139.01,2104.98,1825.96,3070.17,530.0,950.0,330.0,1140.0,500.0,19.0,13.0,2007,47.64,656.33,16.48,5369470.34,3914,27,3,3,3,2,1,3,2,False,False,True,False,False,True,False,False,46.0,west,dedicated,Badda,duplex
191.05,3042.95,2608.12,3297.58,795.0,580.0,680.0,1220.0,1160.0,33.0,8.0,1993,56.72,1010.94,31.23,8856874.35,1650,38,3,5,4,7,194,0,13,True,True,False,False,False,True,False,False,69.0,south,dedicated,Lalbagh,penthouse
76.97,1765.56,1408.41,1873.62,725.0,850.0,140.0,400.0,180.0,12.0,21.0,2014,44.08,579.75,23.94,7877949.02,2181,15,3,3,3,3,159,3,12,True,True,True,True,False,True,False,False,18.0,south,dedicated,Kafrul,apartment
209.06,2999.85,2295.75,4286.62,1425.0,1400.0,270.0,760.0,1140.0,0.0,8.0,2026,67.32,689.96,31.11,12505088.79,1583,21,3,6,5,1,1,0,1,True,False,True,False,True,True,False,False,21.0,south,dedicated,Badda,villa
96.87,1306.63,1077.75,1465.85,975.0,1250.0,240.0,570.0,1250.0,0.0,6.0,2026,28.84,339.07,13.3,3913053.96,1357,10,2,2,2,5,108,0,8,True,False,False,False,True,False,False,False,38.0,west,inline,Jatrabari,apartment
162.51,3966.61,3567.81,7537.47,575.0,400.0,680.0,160.0,70.0,25.0,21.0,2001,125.68,1219.63,95.3,31693519.28,2767,16,3,4,4,3,1,2,4,False,False,True,False,True,True,False,False,50.0,west,dedicated,Gulshan,villa
64.15,1081.2,814.46,1284.02,965.0,600.0,430.0,1100.0,370.0,15.0,10.0,2011,28.04,354.51,15.8,2763273.11,4698,6,2,3,2,4,144,0,30,False,False,True,False,False,False,False,False,34.0,south,inline,Tejgaon,apartment
277.83,7502.4,6680.91,13762.95,625.0,300.0,370.0,400.0,120.0,0.0,23.0,2026,332.99,4082.16,209.77,89957054.89,1382,32,3,4,4,2,1,2,2,False,True,True,True,True,True,True,True,38.0,east,dedicated,Dhanmondi,villa
133.34,1792.24,1436.07,2606.97,245.0,310.0,110.0,410.0,370.0,13.0,18.0,2013,56.7,596.57,26.99,15242688.83,4966,34,3,4,4,1,1,1,1,False,True,True,True,True,False,True,False,75.0,south,dedicated,Baridhara,duplex
97.96,1414.67,1085.52,1585.34,410.0,970.0,590.0,630.0,600.0,17.0,8.0,2009,52.08,430.99,25.72,5678390.1,3939,40,3,3,3,9,33,3,27,True,True,True,True,True,True,True,True,63.0,north,dedicated,Farmgate,apartment
267.51,3820.35,3381.27,4399.63,525.0,110.0,570.0,410.0,410.0,30.0,12.0,1996,212.79,2460.06,87.09,23296465.13,4863,37,3,5,5,5,40,1,25,False,False,True,True,False,True,False,False,69.0,south,dedicated,Gulshan,penthouse
106.69,1399.29,1246.7,1587.36,265.0,550.0,820.0,680.0,640.0,16.0,18.0,2010,37.65,431.03,13.76,3929079.12,854,18,3,4,3,5,147,3,9,False,False,False,True,True,False,False,False,39.0,south,inline,Tejgaon,apartment
80.45,2334.3,1962.55,2605.68,345.0,510.0,650.0,230.0,590.0,36.0,10.0,1990,105.4,808.72,57.26,12588360.04,3101,35,3,4,4,16,142,2,19,False,False,True,False,True,True,True,False,26.0,north,dedicated,Cantonment,condominium
176.59,4113.13,3601.65,4831.4,55.0,570.0,210.0,250.0,680.0,26.0,17.0,2000,202.7,1814.62,87.84,28975229.73,2114,17,3,4,4,5,17,1,8,True,False,True,True,True,False,False,True,74.0,west,dedicated,Nikunja,penthouse
56.5,721.38,649.18,848.27,1245.0,980.0,1240.0,1060.0,1080.0,10.0,22.0,2016,18.63,243.12,8.96,1914112.18,3478,29,2,2,2,21,162,0,23,True,False,True,False,True,False,False,False,25.0,west,inline,Mirpur 1,apartment
115.35,1793.53,1537.06,3165.4,1165.0,1220.0,600.0,630.0,540.0,22.0,12.0,2004,34.81,427.26,24.9,5055115.55,4830,8,3,3,3,3,1,0,4,False,False,False,False,False,False,False,False,57.0,west,dedicated,Lalbagh,duplex
177.35,2439.03,1849.05,3510.46,420.0,840.0,1190.0,1190.0,310.0,31.0,20.0,1995,59.07,550.33,29.88,6203720.86,3190,4,3,7,6,2,1,2,2,False,False,True,True,True,False,False,True,43.0,west,dedicated,Mirpur 10,triplex
193.39,2619.53,1979.33,3971.9,345.0,220.0,650.0,850.0,190.0,37.0,18.0,1989,90.05,598.57,29.28,8479874.87,1677,16,3,6,6,1,1,0,1,False,True,True,False,True,True,False,False,32.0,north,dedicated,Farmgate,townhouse
60.05,1095.46,828.07,1184.36,145.0,890.0,830.0,870.0,420.0,4.0,11.0,2022,36.74,250.83,15.62,5653947.38,425,4,2,2,2,11,70,3,21,True,True,True,False,True,True,True,False,79.0,south,inline,Shyamoli,apartment
113.89,1708.72,1350.31,1889.67,825.0,770.0,940.0,990.0,1210.0,16.0,22.0,2010,41.3,538.23,23.87,4659069.02,1120,34,3,5,4,6,39,3,16,True,False,False,False,True,False,True,False,23.0,east,dedicated,Wari,apartment
58.09,909.17,777.97,1059.31,810.0,420.0,840.0,1180.0,620.0,13.0,15.0,2013,18.15,222.79,8.72,2485256.76,3151,29,3,3,3,24,154,1,24,True,False,False,False,True,False,False,False,13.0,west,inline,Mirpur 10,apartment
85.15,2369.42,1935.96,2664.66,455.0,480.0,360.0,520.0,120.0,35.0,16.0,1991,125.06,1014.13,43.42,15540242.06,2441,39,3,4,4,1,36,2,26,True,False,True,True,True,True,False,False,69.0,south,dedicated,Uttara,condominium
106.95,2119.47,1825.66,2306.28,105.0,600.0,760.0,490.0,630.0,11.0,23.0,2015,81.57,906.17,37.75,10584139.7,1472,12,3,4,4,4,40,1,12,False,False,True,True,False,False,False,False,43.0,west,dedicated,Mohammedpur,condominium
298.43,3937.28,3531.45,4584.4,455.0,270.0,240.0,490.0,690.0,32.0,10.0,1994,194.91,1925.17,115.66,28459963.21,2690,11,3,5,5,7,97,3,14,False,True,False,True,True,True,True,False,50.0,west,dedicated,Bashundhara,penthouse
107.1,1486.02,1281.21,1624.05,505.0,710.0,650.0,610.0,300.0,37.0,12.0,1989,48.95,487.01,20.64,5690974.39,2406,7,3,3,3,1,143,0,19,True,True,False,True,True,True,False,False,32.0,north,dedicated,Shyamoli,condominium
47.59,1118.02,840.69,1277.99,960.0,630.0,530.0,1120.0,400.0,28.0,8.0,1998,19.35,178.36,11.09,2622087.28,2517,35,3,3,3,28,123,2,30,True,False,False,True,False,False,True,True,31.0,south,inline,Lalbagh,apartment
31.59,945.59,735.27,1064.52,780.0,1000.0,1380.0,1010.0,1450.0,27.0,18.0,1999,23.87,304.23,9.37,2490348.55,3211,20,3,3,3,18,147,2,19,True,False,True,False,False,False,False,False,56.0,north,inline,Tejgaon,condominium
142.21,2617.1,2162.54,4037.35,945.0,240.0,770.0,510.0,400.0,6.0,18.0,2020,56.92,1043.06,27.59,13543893.02,4760,18,3,4,4,2,1,0,2,False,False,True,False,True,False,False,False,68.0,east,dedicated,Motijheel,townhouse
30.0,986.63,757.48,1142.56,1305.0,1020.0,580.0,590.0,1350.0,22.0,20.0,2004,29.09,267.86,13.82,2578794.7,141,39,3,3,3,1,189,2,8,True,False,True,False,True,False,True,False,27.0,east,inline,Jatrabari,apartment
60.6,1339.75,1195.12,1557.12,295.0,530.0,1070.0,460.0,950.0,29.0,18.0,1997,39.22,369.6,13.64,2878887.59,2385,8,2,2,2,12,64,1,29,True,False,True,True,False,False,True,False,79.0,east,inline,Wari,condominium
73.74,1529.16,1276.59,1678.18,875.0,580.0,230.0,340.0,900.0,23.0,21.0,2003,32.92,312.95,16.44,5545090.63,305,29,3,4,3,6,11,2,19,True,True,False,False,True,True,True,False,24.0,north,dedicated,Farmgate,apartment
209.45,3046.12,2500.3,4836.57,610.0,230.0,880.0,760.0,950.0,15.0,16.0,2011,63.38,785.71,53.66,12961040.39,1967,6,3,6,6,2,1,2,2,True,False,False,False,False,False,True,False,42.0,west,dedicated,Shyamoli,duplex
86.03,1088.61,824.04,1195.96,825.0,850.0,990.0,380.0,420.0,16.0,15.0,2010,17.59,206.47,13.42,2603205.97,3017,11,3,3,3,17,172,3,28,True,False,False,False,True,False,False,False,36.0,south,inline,Paltan,apartment
42.4,1114.09,870.78,1309.06,480.0,810.0,990.0,830.0,490.0,0.0,23.0,2026,23.58,288.82,9.55,3793942.28,4234,20,2,2,2,2,21,0,6,True,False,True,True,False,False,False,False,55.0,south,inline,Paltan,apartment
76.34,2154.82,1740.7,3192.42,290.0,390.0,80.0,200.0,570.0,1.0,15.0,2025,115.69,1122.43,44.64,21059014.09,4769,10,3,4,3,2,1,1,4,False,False,True,False,True,True,False,False,12.0,east,dedicated,Dhanmondi,duplex
52.79,1046.77,922.74,1128.79,1490.0,460.0,720.0,920.0,920.0,16.0,17.0,2010,18.51,251.96,12.24,3023842.06,4782,26,2,2,2,24,11,1,28,True,False,True,False,True,False,False,False,41.0,south,inline,Malibagh,apartment
211.31,3252.68,2657.4,4733.19,750.0,460.0,940.0,690.0,360.0,30.0,17.0,1996,127.73,1279.61,34.4,10722079.49,4099,32,3,6,6,2,1,3,2,False,False,True,True,True,False,True,True,27.0,north,dedicated,Shyamoli,townhouse
38.27,685.95,576.15,744.09,925.0,650.0,960.0,1260.0,490.0,35.0,19.0,1991,20.2,154.85,7.48,1257162.73,1483,30,1,1,1,11,19,2,11,True,False,True,False,False,False,False,True,18.0,south,inline,Badda,apartment
121.25,1642.82,1467.87,1925.34,305.0,960.0,380.0,560.0,110.0,25.0,18.0,2001,60.2,366.76,20.51,5989562.4,2851,8,3,5,4,9,187,2,24,True,False,True,False,True,True,True,True,55.0,west,dedicated,Mohammedpur,apartment
271.47,4231.42,3774.71,8215.1,585.0,530.0,140.0,660.0,540.0,27.0,20.0,1999,168.02,1765.31,80.27,19265347.52,4237,21,3,5,4,2,1,1,4,False,True,True,False,True,True,False,False,57.0,north,dedicated,Motijheel,villa
67.02,1215.77,1010.44,1348.35,645.0,750.0,440.0,740.0,1180.0,20.0,23.0,2006,24.89,285.11,12.77,3007417.48,4767,18,2,3,2,25,54,0,27,True,True,True,False,True,False,False,False,28.0,east,inline,Lalbagh,apartment
