balcony_area,built_up_area,carpet_area,land_area,distance_to_main_road,nearby_hospital_distance,nearby_market_distance,nearby_metro_distance,nearby_playground_distance,building_age,water_supply_hours,year_built,maintenance_fee,property_tax,service_charge,price,balconies,baths,beds,floor,number_of_units,parking_spaces,total_floors,elevator,furnished,gas_connection,generator,internet_available,power_backup,security_guard,servant_room,road_width,facing_direction,kitchen_type,locality,type
57.94,868.98,679.65,1013.03,1380.0,1160.0,950.0,380.0,870.0,11.0,15.0,2015,20.06,150.95,8.03,3475630.46,1,1,1,10,106,0,18,True,False,True,False,False,True,False,False,20.0,north,inline,Mirpur 1,apartment
174.89,5222.38,4639.67,6098.69,660.0,560.0,210.0,190.0,430.0,5.0,9.0,2021,192.67,1610.89,100.26,68718490.58,3,5,4,8,101,3,30,True,True,True,True,True,False,False,True,23.0,east,dedicated,Cantonment,penthouse
551.62,8067.33,6547.97,13510.56,270.0,430.0,450.0,300.0,470.0,0.0,15.0,2026,298.27,5410.3,192.1,112660317.33,3,4,4,1,1,3,3,False,False,False,True,True,True,False,True,70.0,west,dedicated,Baridhara,villa
94.06,1540.88,1235.44,1667.65,215.0,830.0,650.0,380.0,240.0,4.0,9.0,2022,52.06,529.38,28.91,11004498.84,3,3,3,8,89,0,24,True,False,False,True,True,True,False,False,71.0,west,dedicated,Kalabagan,condominium
46.65,1021.67,812.18,1096.39,1470.0,980.0,760.0,640.0,900.0,8.0,10.0,2018,20.78,304.67,13.51,4303018.45,3,4,3,17,130,2,17,True,True,False,False,False,False,True,False,29.0,south,inline,Old Dhaka,apartment
142.06,2153.45,1727.49,3911.65,840.0,440.0,860.0,400.0,700.0,27.0,21.0,1999,79.06,688.65,24.84,12676400.09,3,5,4,1,1,2,2,False,False,False,True,True,False,True,False,66.0,east,dedicated,Kafrul,duplex
41.41,1055.23,836.56,1122.73,875.0,590.0,830.0,620.0,720.0,19.0,16.0,2007,27.38,289.54,16.38,6300267.85,2,2,2,4,34,2,17,False,False,True,True,False,True,True,False,49.0,east,inline,Mohammedpur,condominium
175.74,2227.49,1805.64,2534.71,580.0,240.0,260.0,330.0,420.0,26.0,10.0,2000,54.19,661.87,24.24,16418803.06,3,4,4,12,52,0,14,True,False,True,True,True,True,True,False,45.0,north,dedicated,Motijheel,penthouse
40.02,1192.32,938.03,1361.62,400.0,780.0,280.0,830.0,170.0,37.0,12.0,1989,45.85,407.71,21.04,6591448.24,3,4,3,2,17,0,7,True,True,True,True,True,False,False,False,42.0,north,inline,Motijheel,condominium
60.12,1416.86,1079.61,1669.98,570.0,380.0,280.0,480.0,800.0,18.0,8.0,2008,29.76,460.3,20.25,5123651.06,2,3,2,3,175,0,15,False,True,True,False,False,True,False,False,46.0,east,dedicated,Paltan,apartment
226.02,2841.17,2220.64,4137.32,910.0,1160.0,1370.0,1020.0,620.0,30.0,16.0,1996,49.25,807.9,35.84,10041542.76,3,5,4,1,1,3,4,False,True,False,False,True,False,False,False,77.0,south,dedicated,Malibagh,townhouse
260.45,4788.09,4177.63,5540.51,335.0,430.0,380.0,500.0,650.0,23.0,14.0,2003,266.24,2277.58,123.19,52957648.3,3,6,6,19,90,3,19,True,False,True,True,True,True,True,True,61.0,south,dedicated,Banani,penthouse
70.78,1403.89,1087.16,1683.27,1185.0,1010.0,840.0,610.0,580.0,12.0,10.0,2014,24.97,263.91,17.26,5396326.73,3,3,3,11,102,2,27,True,False,False,False,True,False,False,False,48.0,north,dedicated,Old Dhaka,apartment
65.95,941.32,757.95,1071.08,455.0,560.0,1000.0,490.0,260.0,5.0,20.0,2021,14.29,215.04,8.0,3906113.37,3,4,3,17,19,0,19,True,False,True,False,True,False,False,False,22.0,west,inline,Badda,apartment
55.91,781.23,681.27,935.65,1390.0,210.0,730.0,1270.0,690.0,2.0,18.0,2024,21.59,231.33,6.97,3344173.31,2,2,2,13,21,1,17,True,False,True,False,False,False,False,False,76.0,south,inline,Lalbagh,apartment
128.03,2537.71,2012.39,2900.48,1110.0,400.0,930.0,340.0,690.0,20.0,20.0,2006,59.77,486.79,35.28,12547039.47,3,6,6,12,141,2,20,True,True,True,False,False,False,True,False,16.0,east,dedicated,Old Dhaka,penthouse
55.38,1032.9,918.18,1092.23,430.0,420.0,1390.0,1020.0,830.0,7.0,8.0,2019,21.68,162.99,10.71,4357282.4,2,3,2,7,73,0,7,False,True,False,False,True,True,True,False,64.0,south,inline,Lalbagh,apartment
137.39,2750.2,2426.15,5476.75,460.0,140.0,140.0,460.0,540.0,14.0,24.0,2012,115.1,1643.22,70.0,25951896.64,3,5,5,2,1,1,3,False,True,True,False,True,False,True,True,63.0,north,dedicated,Baridhara,townhouse
100.2,1418.85,1153.03,2762.98,840.0,1120.0,1190.0,1300.0,800.0,29.0,23.0,1997,33.0,401.26,20.55,4916325.23,2,3,2,1,1,2,1,False,False,False,False,True,False,False,True,31.0,south,dedicated,Tejgaon,townhouse
43.9,916.49,769.61,975.74,965.0,600.0,1100.0,1350.0,950.0,27.0,7.0,1999,20.14,294.65,11.2,3002429.43,2,3,2,8,34,0,16,True,False,True,False,True,False,False,False,77.0,north,inline,Rampura,apartment
64.06,893.23,798.01,1001.2,1465.0,690.0,1260.0,1150.0,220.0,39.0,18.0,1987,16.88,158.46,10.6,3072525.28,2,3,2,8,186,0,11,True,False,False,False,False,False,False,False,30.0,east,inline,Mirpur 10,condominium
74.44,975.95,873.79,1163.85,1420.0,900.0,940.0,1030.0,1120.0,12.0,13.0,2014,15.2,230.0,8.12,3751386.43,2,2,2,7,26,3,30,True,False,False,False,True,False,False,False,61.0,north,inline,Wari,apartment
192.05,3571.67,2854.1,6305.95,80.0,460.0,100.0,380.0,70.0,6.0,18.0,2020,108.02,2290.32,64.5,38593011.02,3,5,4,1,1,1,2,False,True,True,True,True,True,True,False,29.0,north,dedicated,Banani,townhouse
206.33,4914.27,3949.69,5821.87,120.0,630.0,230.0,110.0,370.0,16.0,17.0,2010,200.71,2194.47,135.51,58235606.44,3,5,5,8,195,2,23,True,False,True,False,True,True,True,True,43.0,east,dedicated,Niketon,penthouse
260.7,3755.58,2934.76,4182.86,175.0,60.0,450.0,580.0,600.0,36.0,21.0,1990,125.62,1173.37,105.11,38652698.85,3,5,4,8,75,2,8,False,True,False,True,False,True,False,True,65.0,north,dedicated,Dhanmondi,penthouse
30.0,890.42,737.01,1031.17,840.0,610.0,530.0,450.0,720.0,40.0,6.0,1986,24.7,230.99,17.01,4688066.34,2,3,2,2,36,3,7,True,True,True,True,True,False,False,True,49.0,east,inline,Motijheel,apartment
33.24,1087.36,933.42,1248.35,685.0,1390.0,1110.0,1180.0,1240.0,15.0,24.0,2011,29.78,301.81,14.37,4153604.85,2,2,2,4,129,2,27,True,False,False,False,True,True,False,False,43.0,north,inline,Badda,apartment
229.14,3917.12,3430.53,4502.09,1000.0,970.0,180.0,690.0,980.0,6.0,16.0,2020,140.89,934.25,52.94,33925842.68,3,5,4,13,18,2,18,False,False,True,True,True,True,False,False,61.0,south,dedicated,Farmgate,penthouse
138.87,3081.64,2430.15,5202.29,1295.0,650.0,610.0,1080.0,1220.0,33.0,15.0,1993,48.8,686.82,37.91,12231046.0,3,5,4,1,1,0,4,False,False,False,True,True,True,False,True,50.0,west,dedicated,Wari,triplex
55.76,1231.41,965.95,1299.59,270.0,1270.0,890.0,1340.0,1090.0,8.0,11.0,2018,27.25,288.69,14.96,5345812.55,2,2,2,28,111,2,28,True,False,True,False,False,True,False,False,36.0,north,inline,Shahbagh,condominium
52.91,1003.42,786.11,1110.95,205.0,240.0,1380.0,230.0,1230.0,15.0,18.0,2011,27.71,289.97,11.43,3725500.97,2,3,2,6,128,0,9,True,False,False,False,True,False,False,False,74.0,south,inline,Old Dhaka,apartment
92.64,2368.42,2110.9,3367.72,660.0,590.0,190.0,430.0,90.0,0.0,17.0,2026,90.83,1434.0,55.84,25987489.64,3,6,6,1,1,3,4,False,False,False,True,True,True,False,False,14.0,north,dedicated,Dhanmondi,townhouse
113.58,1800.79,1618.38,2021.34,570.0,600.0,560.0,690.0,190.0,2.0,11.0,2024,50.06,380.29,28.35,13128568.39,3,3,3,15,106,2,30,True,True,True,False,False,False,True,True,22.0,west,dedicated,Shyamoli,condominium
88.08,2200.01,1740.25,2351.05,830.0,270.0,600.0,890.0,780.0,17.0,13.0,2009,61.3,890.79,30.81,13584120.61,3,6,5,2,120,0,20,True,False,True,True,True,True,False,False,35.0,east,dedicated,Motijheel,condominium
94.45,2189.24,1703.39,3338.85,920.0,450.0,1310.0,1240.0,1160.0,14.0,20.0,2012,48.37,501.41,16.58,9093679.71,3,5,4,2,1,2,2,False,False,True,False,False,False,False,False,61.0,west,dedicated,Badda,duplex
337.79,4831.68,4292.94,6806.45,1050.0,1010.0,350.0,1430.0,240.0,17.0,9.0,2009,83.46,1151.93,42.44,23580512.17,3,6,6,1,1,2,3,False,False,True,False,False,False,False,False,43.0,north,dedicated,Paltan,villa
129.86,2020.2,1645.99,2131.72,635.0,60.0,210.0,100.0,650.0,13.0,16.0,2013,109.15,1112.56,45.71,18032690.25,3,5,4,5,116,1,10,False,True,True,False,True,True,True,False,25.0,east,dedicated,Nikunja,apartment
234.9,3580.64,2772.16,4873.16,655.0,290.0,990.0,690.0,910.0,4.0,21.0,2022,88.96,1423.62,67.93,28766833.89,3,5,4,1,1,1,3,False,False,False,False,False,True,False,False,38.0,east,dedicated,Farmgate,bungalow
100.73,1605.78,1431.98,1759.99,950.0,1450.0,940.0,950.0,470.0,31.0,15.0,1995,29.84,429.68,12.5,5789109.17,3,4,3,16,41,0,18,True,False,False,True,True,True,False,False,38.0,west,dedicated,Mirpur 1,condominium
47.57,1438.43,1140.19,1637.75,595.0,230.0,640.0,620.0,800.0,34.0,7.0,1992,40.2,458.88,16.92,4848214.31,2,3,2,1,170,3,17,True,False,True,False,False,True,False,False,74.0,south,dedicated,Lalbagh,apartment
89.77,2653.28,2242.56,3995.91,580.0,110.0,210.0,270.0,850.0,5.0,18.0,2021,53.45,885.09,37.81,19406880.14,3,4,4,1,1,3,1,False,False,True,False,True,False,True,False,59.0,south,dedicated,Kafrul,duplex
71.51,1576.86,1389.2,1758.86,500.0,160.0,700.0,150.0,490.0,26.0,16.0,2000,77.34,606.85,43.97,13448420.23,3,3,3,17,59,1,18,True,True,True,True,True,True,True,True,48.0,west,dedicated,Bashundhara,condominium
45.48,834.38,678.35,930.35,565.0,1180.0,790.0,940.0,1070.0,7.0,23.0,2019,16.73,176.0,9.35,3558905.29,2,3,2,5,121,2,28,True,False,False,False,True,False,False,False,29.0,east,inline,Khilgaon,condominium
84.06,1313.53,1093.86,1537.81,1205.0,1190.0,510.0,290.0,270.0,6.0,23.0,2020,26.54,400.29,13.43,5548803.39,2,3,2,8,174,2,8,True,False,True,False,True,True,False,False,62.0,north,inline,Mirpur 1,apartment
460.42,6262.49,5266.72,11171.74,610.0,310.0,70.0,570.0,530.0,25.0,14.0,2001,269.0,2386.1,179.24,63583889.97,3,4,4,1,1,2,1,True,True,True,True,True,True,True,False,42.0,west,dedicated,Bashundhara,bungalow
184.73,5977.9,5103.13,11265.15,455.0,620.0,580.0,480.0,590.0,29.0,14.0,1997,294.43,3465.73,157.77,64399911.14,3,7,6,1,1,1,1,False,False,True,True,True,True,True,False,76.0,east,dedicated,Gulshan,villa
44.61,1484.11,1237.79,2476.64,610.0,230.0,470.0,740.0,1240.0,27.0,10.0,1999,31.58,416.06,15.61,5399559.09,2,2,2,1,1,3,3,False,True,False,False,True,True,False,False,63.0,north,dedicated,Malibagh,townhouse
68.63,1215.92,1053.99,1344.49,590.0,1190.0,820.0,890.0,400.0,32.0,17.0,1994,20.57,344.62,12.93,4222737.94,3,3,3,13,32,0,24,False,True,False,False,False,True,False,True,76.0,south,inline,Paltan,condominium
99.07,1625.18,1249.35,1852.39,810.0,260.0,720.0,520.0,720.0,26.0,22.0,2000,43.37,661.14,19.47,8318907.99,3,4,3,12,78,1,20,False,True,True,False,True,True,False,False,58.0,north,dedicated,Kalabagan,apartment
134.69,3239.84,2839.33,5863.01,505.0,660.0,330.0,170.0,650.0,0.0,15.0,2026,148.16,1724.95,60.31,36903369.49,3,4,4,3,1,3,4,True,False,True,True,True,True,False,False,31.0,south,dedicated,Uttara,townhouse
412.95,8056.39,7170.6,13727.82,335.0,630.0,440.0,530.0,440.0,30.0,16.0,1996,247.94,4454.07,148.51,90006026.55,3,6,6,1,1,2,3,True,True,False,False,True,True,True,True,31.0,north,dedicated,Baridhara,villa
96.3,1906.45,1708.44,2183.77,690.0,880.0,600.0,870.0,250.0,2.0,22.0,2024,52.2,464.8,35.74,13771385.12,3,3,3,20,138,3,25,False,False,True,True,True,True,True,False,63.0,west,dedicated,Shyamoli,condominium
67.67,1755.48,1449.14,2036.65,1450.0,870.0,1380.0,1240.0,1320.0,1.0,8.0,2025,51.67,486.3,16.46,8124087.31,3,5,4,5,94,3,14,True,True,True,False,True,False,False,False,73.0,south,dedicated,Jatrabari,condominium
422.81,5543.21,4771.78,8036.64,405.0,150.0,110.0,170.0,220.0,18.0,22.0,2008,323.01,2655.95,113.98,63477015.87,3,7,6,1,1,2,1,False,False,False,True,True,True,False,False,43.0,south,dedicated,Bashundhara,villa
329.88,4534.07,3876.82,6186.57,590.0,520.0,320.0,50.0,270.0,35.0,13.0,1991,209.86,2964.75,102.37,46131935.73,3,5,5,1,1,1,1,False,True,True,False,True,False,False,False,19.0,north,dedicated,Niketon,villa
67.71,1345.68,1054.12,1469.19,665.0,600.0,180.0,290.0,950.0,17.0,9.0,2009,42.88,404.78,14.59,7913349.48,3,3,3,1,137,0,18,True,False,True,True,False,True,False,True,33.0,east,inline,Farmgate,apartment
52.97,1388.97,1165.15,1507.48,220.0,1360.0,500.0,220.0,1100.0,30.0,21.0,1996,28.88,238.19,14.94,4550265.92,2,2,2,9,137,1,9,True,False,False,False,True,False,False,False,20.0,north,inline,Rampura,apartment
431.1,5683.84,4789.08,11242.32,1170.0,230.0,900.0,1140.0,1450.0,37.0,18.0,1989,86.27,1191.92,78.27,25817687.94,3,6,6,1,1,2,1,False,False,False,False,True,True,False,False,55.0,west,dedicated,Jatrabari,villa
80.09,1841.9,1506.95,2022.38,120.0,590.0,300.0,230.0,520.0,11.0,8.0,2015,101.07,1206.75,33.24,17442066.7,3,4,4,8,94,1,28,True,False,True,True,True,True,True,False,50.0,north,dedicated,Niketon,apartment
306.58,5277.49,4412.58,8628.02,975.0,640.0,330.0,940.0,230.0,36.0,10.0,1990,173.34,2119.0,75.33,35375705.89,3,6,5,3,1,2,3,True,False,True,False,True,True,True,False,37.0,north,dedicated,Kalabagan,bungalow
63.13,1094.63,859.37,1282.22,790.0,930.0,1290.0,230.0,1470.0,17.0,7.0,2009,22.39,252.12,14.39,4083000.69,2,3,2,10,187,0,27,True,False,True,False,False,False,True,False,33.0,south,inline,Malibagh,apartment
231.22,4224.78,3216.2,6286.93,925.0,430.0,300.0,980.0,880.0,34.0,15.0,1992,127.88,1043.47,75.2,26939294.1,3,6,6,4,1,2,4,True,True,True,False,False,False,True,False,22.0,south,dedicated,Motijheel,triplex
30.0,814.04,655.57,976.45,1385.0,770.0,380.0,440.0,1350.0,2.0,11.0,2024,19.75,146.21,6.66,3484592.93,1,1,1,5,168,2,27,True,False,False,False,True,False,False,False,27.0,east,inline,Lalbagh,apartment
37.6,869.73,743.3,977.13,470.0,850.0,1110.0,1280.0,1230.0,0.0,20.0,2026,14.23,172.57,11.57,3981644.24,2,3,2,21,143,1,30,True,True,False,False,True,True,False,False,67.0,east,inline,Malibagh,apartment
77.95,977.36,819.34,1081.32,940.0,120.0,430.0,550.0,950.0,21.0,16.0,2005,27.02,336.34,13.38,5743923.26,3,3,3,20,192,0,22,True,True,False,False,True,False,True,True,62.0,east,inline,Shyamoli,condominium
77.61,986.82,796.19,1154.07,625.0,270.0,490.0,260.0,150.0,14.0,9.0,2012,35.73,258.43,19.25,6123101.46,2,2,2,20,75,2,29,True,True,True,True,True,False,True,False,66.0,east,inline,Farmgate,apartment
62.5,1258.43,1060.15,1331.09,600.0,280.0,950.0,180.0,490.0,20.0,11.0,2006,41.0,260.44,20.05,6936470.88,3,3,3,13,196,1,26,True,True,True,False,True,False,False,False,55.0,north,inline,Kalabagan,apartment
227.72,4558.02,3836.13,7113.09,1120.0,410.0,980.0,850.0,1010.0,4.0,18.0,2022,87.14,1508.73,58.41,27015573.4,3,6,6,3,1,2,4,False,False,False,True,True,False,True,False,73.0,north,dedicated,Paltan,villa
237.7,3548.61,2727.18,6968.84,445.0,620.0,150.0,540.0,520.0,20.0,16.0,2006,199.63,1119.11,103.77,32633047.53,3,4,4,2,1,1,4,False,True,True,True,True,True,True,True,68.0,south,dedicated,Gulshan,townhouse
38.01,867.48,778.54,987.3,990.0,680.0,1360.0,1110.0,1450.0,8.0,8.0,2018,23.01,189.4,10.8,3519522.88,1,1,1,6,146,0,14,False,False,False,True,True,True,False,False,68.0,west,inline,Mirpur 1,apartment
47.02,1084.53,821.8,1160.07,400.0,580.0,1410.0,1120.0,740.0,0.0,18.0,2026,24.12,255.57,11.98,4964991.44,3,4,3,16,41,1,28,True,False,True,True,True,True,False,False,76.0,west,inline,Malibagh,apartment
37.27,820.75,711.88,967.4,1240.0,400.0,1380.0,640.0,830.0,17.0,15.0,2009,23.07,173.49,8.07,3094317.22,1,2,1,3,137,3,19,False,False,True,False,True,False,True,False,18.0,north,inline,Old Dhaka,condominium
221.23,3951.22,3493.19,4623.52,195.0,90.0,480.0,430.0,410.0,19.0,8.0,2007,135.13,1215.73,72.3,44740431.91,3,5,5,3,196,3,18,True,True,True,False,True,False,True,True,42.0,south,dedicated,Uttara,penthouse
101.43,1447.29,1164.48,1613.29,610.0,990.0,1250.0,1140.0,1130.0,32.0,15.0,1994,35.71,484.41,16.87,5026247.53,3,3,3,12,29,2,16,False,False,False,True,True,True,False,False,47.0,east,dedicated,Old Dhaka,condominium
292.93,4126.97,3380.06,6633.7,570.0,420.0,160.0,460.0,590.0,40.0,11.0,1986,243.02,1738.04,101.98,44048201.14,3,5,4,3,1,1,4,False,True,True,True,True,True,False,False,79.0,east,dedicated,Bashundhara,villa
94.21,1628.62,1319.75,1883.99,585.0,150.0,380.0,60.0,440.0,18.0,17.0,2008,81.78,684.29,35.51,13194459.52,3,4,3,4,194,3,16,True,False,True,False,True,False,False,False,61.0,west,dedicated,Baridhara,apartment
102.04,1539.36,1212.41,1755.88,210.0,120.0,610.0,510.0,840.0,4.0,23.0,2022,37.3,562.57,30.32,10374060.73,3,4,4,7,191,1,19,True,True,True,True,True,False,False,False,69.0,north,dedicated,Kafrul,apartment
47.15,1187.71,934.46,1404.21,95.0,430.0,220.0,430.0,330.0,37.0,11.0,1989,37.99,621.93,28.64,9951794.84,3,4,3,4,141,1,10,True,True,True,False,True,True,True,False,65.0,east,inline,Uttara,condominium
42.24,1314.56,1069.49,1382.88,145.0,430.0,880.0,580.0,350.0,34.0,7.0,1992,34.18,320.42,23.68,7177523.93,2,3,2,4,47,2,20,True,False,True,True,True,True,True,False,28.0,west,inline,Motijheel,apartment
107.18,1776.38,1393.06,1952.0,915.0,390.0,1300.0,970.0,670.0,39.0,12.0,1987,44.67,355.07,19.11,6227891.58,3,4,4,5,178,2,22,False,False,False,False,False,True,True,False,53.0,east,dedicated,Badda,condominium
94.67,1368.88,1195.51,2207.29,1300.0,1420.0,760.0,740.0,770.0,26.0,8.0,2000,38.05,241.0,10.58,5057953.93,3,3,3,2,1,1,4,False,False,True,True,False,False,False,False,35.0,west,inline,Wari,duplex
60.5,972.24,810.6,1071.5,560.0,1390.0,1280.0,920.0,290.0,32.0,19.0,1994,16.84,193.84,9.45,3276922.12,3,3,3,6,106,2,6,True,False,False,False,True,False,True,False,36.0,south,inline,Old Dhaka,apartment
154.78,2575.26,2132.73,4445.49,210.0,1390.0,930.0,1370.0,940.0,28.0,15.0,1998,64.07,768.89,31.09,9929167.83,3,4,4,2,1,2,4,False,True,False,False,True,False,False,False,12.0,east,dedicated,Old Dhaka,triplex
78.41,1067.58,908.95,1126.74,1345.0,1380.0,1490.0,310.0,1320.0,5.0,23.0,2021,19.5,272.87,12.39,4600408.83,2,2,2,7,59,1,27,True,True,False,True,True,False,False,True,32.0,north,inline,Paltan,apartment
61.16,1353.61,1168.11,1430.04,925.0,340.0,690.0,700.0,920.0,15.0,20.0,2011,45.53,577.54,22.86,8151750.76,3,3,3,7,115,1,13,True,True,True,False,True,False,True,False,15.0,west,inline,Kalabagan,apartment
211.86,6660.96,5008.75,9892.24,110.0,80.0,270.0,210.0,180.0,32.0,8.0,1994,336.15,2858.64,182.33,71094047.98,3,5,4,1,1,3,2,False,True,False,True,True,True,False,True,65.0,west,dedicated,Niketon,villa
55.26,1746.48,1361.3,3106.75,1425.0,650.0,1430.0,410.0,850.0,21.0,21.0,2005,45.28,448.7,16.27,7130538.09,3,4,3,1,1,0,1,True,False,False,False,True,False,True,False,18.0,north,dedicated,Rampura,duplex
59.59,1151.28,990.46,1264.99,515.0,690.0,570.0,680.0,250.0,31.0,13.0,1995,63.74,496.37,21.75,9105195.28,3,4,3,2,88,3,18,True,True,True,True,True,False,True,True,28.0,east,inline,Cantonment,apartment
112.28,1458.12,1129.64,1613.67,1060.0,240.0,770.0,850.0,820.0,10.0,17.0,2016,30.38,405.92,16.85,6007757.15,2,2,2,12,166,1,16,True,False,True,True,False,True,False,False,27.0,south,dedicated,Paltan,apartment
107.09,1365.81,1181.51,1464.69,490.0,220.0,1490.0,580.0,410.0,36.0,23.0,1990,22.43,448.26,18.15,4788463.35,3,3,3,5,98,3,7,True,False,True,True,True,False,False,False,33.0,south,inline,Rampura,condominium
106.41,3069.1,2349.16,4873.05,1135.0,630.0,1320.0,1470.0,470.0,4.0,22.0,2022,54.76,770.6,31.23,15443498.66,3,6,5,1,1,3,4,True,False,True,False,False,False,False,False,16.0,south,dedicated,Lalbagh,triplex
71.62,1352.39,1068.51,2562.89,1270.0,1420.0,260.0,210.0,830.0,19.0,24.0,2007,35.13,295.74,17.67,5364562.43,3,4,3,3,1,1,3,False,False,False,False,False,True,True,False,34.0,west,inline,Shahbagh,townhouse
105.32,1882.42,1416.94,2845.52,1315.0,940.0,320.0,1160.0,400.0,1.0,16.0,2025,34.87,353.5,23.8,9862124.58,3,5,4,2,1,0,4,False,True,False,False,False,True,False,False,12.0,east,dedicated,Khilgaon,triplex
220.36,2864.79,2332.92,4765.23,570.0,280.0,440.0,820.0,470.0,10.0,15.0,2016,63.4,992.2,40.85,20278410.91,3,6,5,1,1,1,1,True,False,True,False,True,True,True,False,12.0,south,dedicated,Shyamoli,townhouse
88.78,1357.48,1036.84,1558.1,520.0,340.0,330.0,440.0,230.0,24.0,10.0,2002,53.71,602.24,22.55,10291059.8,3,4,3,17,112,1,19,False,True,False,False,False,True,False,False,23.0,west,inline,Gulshan,apartment
