Split,Id,MSZoning,LotArea,Street,Utilities,LandSlope,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,OpenPorchSF,EnclosedPorch,PoolArea,MiscFeature,SalePrice,Electtrical
labeled,104,RL,9765,Pave,AllPub,Gtl,2Story,1993.0,1993,Gable,PConc,680,GasA,Y,SBrkr,680,790,1470,0,2,3,1,6,1,BuiltIn,1993.0,Fin,2,420,Y,63,0,0,Shed,185000.0,
labeled,105,RL,9672,Pave,AllPub,Gtl,1Story,1984.0,1985,Hip,PConc,1040,GasA,Y,SBrkr,1097,0,1097,0,2,3,1,6,0,Attchd,1986.0,Unf,2,480,Y,0,0,0,,152000.0,
labeled,106,RL,9135,Pave,AllPub,Gtl,1Story,2002.0,2003,Gable,PConc,1536,GasA,Y,SBrkr,1536,0,1536,1,2,3,1,7,0,Attchd,2002.0,RFn,2,532,Y,74,0,0,,214000.0,
labeled,107,RM,4500,Pave,AllPub,Gtl,1Story,1999.0,1999,Hip,PConc,1224,GasA,Y,SBrkr,1224,0,1224,1,2,2,1,5,0,Attchd,1999.0,Fin,2,402,Y,304,0,0,,165000.0,
labeled,108,RL,9830,Pave,AllPub,Gtl,1Story,1959.0,2006,Gable,CBlock,1063,GasA,Y,SBrkr,1287,0,1287,1,1,3,1,7,1,Detchd,1997.0,Fin,2,576,Y,17,0,0,,162000.0,
labeled,109,RL,10592,Pave,AllPub,Gtl,2Story,1923.0,1996,Hip,PConc,602,GasA,Y,SBrkr,900,602,1502,0,1,3,1,7,2,Detchd,1923.0,Unf,1,180,Y,0,112,0,,165000.0,
labeled,110,RM,1300,Pave,AllPub,Gtl,2Story,1980.0,1980,Gable,CBlock,561,GasA,Y,SBrkr,561,668,1229,0,1,2,1,5,1,Attchd,1980.0,Fin,2,462,Y,0,0,0,,124000.0,
labeled,111,RL,11308,Pave,AllPub,Gtl,2Story,2008.0,2008,Gable,PConc,1104,GasA,Y,SBrkr,1130,1054,2184,1,2,3,1,10,1,Attchd,2008.0,Fin,3,836,Y,102,0,0,,335000.0,
labeled,112,RL,8120,Pave,AllPub,Gtl,1Story,1970.0,1970,Gable,CBlock,864,GasA,Y,SBrkr,864,0,864,0,1,3,1,5,0,Detchd,1994.0,Unf,2,463,Y,0,0,0,,124500.0,
labeled,113,RL,9873,Pave,AllPub,Gtl,1Story,1970.0,1970,Gable,CBlock,960,GasW,N,SBrkr,960,0,960,1,1,3,1,6,0,Detchd,1970.0,Unf,2,576,Y,288,0,0,,129000.0,
labeled,114,RM,5100,Pave,AllPub,Gtl,2Story,1925.0,1996,Hip,PConc,588,GasA,Y,SBrkr,833,833,1666,0,1,3,1,7,1,Detchd,1925.0,Unf,1,228,Y,63,0,0,,161000.0,
labeled,115,RL,2308,Pave,AllPub,Gtl,2Story,1976.0,1976,Gable,CBlock,804,GasA,Y,SBrkr,804,744,1548,1,2,3,1,7,1,Detchd,1976.0,Unf,2,440,Y,0,0,0,,155000.0,
labeled,116,RL,8000,Pave,AllPub,Gtl,1Story,1961.0,1961,Gable,CBlock,1800,GasA,N,SBrkr,1800,0,1800,0,2,6,2,10,0,,,,0,0,Y,0,0,0,,141000.0,
labeled,117,RL,7945,Pave,AllPub,Gtl,1Story,1959.0,1959,Gable,CBlock,1150,GasA,Y,FuseA,1150,0,1150,1,1,3,1,6,0,Attchd,1959.0,RFn,1,300,Y,0,0,0,,141000.0,
