Price,Year,Kms,Miles,Fuel,Transmission,Owner,Seller,Drivetrain,Length,Width,Height,Seating
43120,2017,45600,28334.5176,Diesel,Automatic,Second,Individual,AWD,4656,1890,1639,5
12600,2018,60000,37282.26,Diesel,Manual,First,Individual,FWD,4270,1780,1665,5
25760,2014,105101,65306.713471,Diesel,Automatic,First,Individual,AWD,4804,2141,1796,5
12264,2016,45000,27961.695,Petrol,Automatic,First,Individual,FWD,4620,1775,1475,5
17640,2013,66000,41010.486,Diesel,Automatic,First,Individual,FWD,4701,1826,1427,5
26880,2010,34105,21191.857955,Petrol,Automatic,First,Individual,RWD,4082,1777,1297,2
5880,2015,68397,42499.912287,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
7000,2015,65000,40389.115,Diesel,Manual,Second,Individual,AWD,3920,1726,1930,6
6776,2019,27469,17068.439999,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
4614.4,2016,41058,25512.250518,Petrol,Automatic,First,Individual,FWD,3600,1600,1560,5
7000,2016,51330,31894.97343,Diesel,Manual,First,Individual,FWD,4490,1730,1485,5
5723.2,2015,45969,28563.803499,Petrol,Manual,First,Individual,FWD,4490,1730,1485,5
12880,2017,66602,41384.551342,Diesel,Automatic,First,Individual,FWD,4270,1780,1630,5
9912,2016,57983,36028.954693,Petrol,Manual,First,Individual,FWD,4270,1780,1630,5
5264,2019,11183,6948.791893,Petrol,Automatic,First,Individual,FWD,3679,1579,1478,5
18043.2,2019,46301,28770.098671,Diesel,Manual,First,Individual,FWD,4655,1835,1760,5
5320,2017,34867,21665.342657,Petrol,Automatic,Second,Individual,FWD,3746,1647,1535,5
9688,2015,43634,27112.902214,Diesel,Manual,First,Individual,RWD,4585,1765,1760,7
42560,2018,9512,5910.480952,Diesel,Automatic,First,Corporate,AWD,4657,1881,1678,5
27720,2020,11293,7017.142703,Diesel,Automatic,First,Individual,AWD,4395,1818,1640,5
4480,2014,78000,48466.938,Diesel,Manual,Second,Individual,RWD,4430,1817,1975,8
4928,2016,50374,31300.942754,Petrol,Manual,First,Individual,FWD,3610,1680,1500,5
31360,2017,15900,9879.7989,Petrol,Automatic,First,Individual,RWD,4633,1811,1429,5
7224,2017,64000,39767.744,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5
4088,2013,78000,48466.938,Diesel,Manual,First,Individual,FWD,3970,1682,1453,5
11703.9888,2021,24000,14912.904,Petrol,Manual,First,Individual,FWD,3995,1790,1640,5
5768,2019,40310,25047.46501,Petrol,Manual,Second,Individual,RWD,3675,1475,1800,7
5096,2015,69700,43309.5587,Petrol,Automatic,First,Individual,FWD,3765,1660,1520,5
20160,2012,74073,46026.814083,Diesel,Automatic,First,Individual,AWD,4648,1881,1661,5
39188.8,2019,73000,45360.083,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7
2128,2006,130000,80778.23,Petrol,Manual,Third,Individual,FWD,4545,1750,1450,5
8680,2021,24000,14912.904,Petrol,Automatic,First,Individual,FWD,3845,1735,1530,5
9240,2021,43000,26718.953,Diesel,Manual,First,Individual,FWD,3995,1775,1505,5
25200,2016,40500,25165.5255,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5
9688,2017,49013,30455.256823,Petrol,Automatic,First,Individual,FWD,4440,1695,1495,5
3348.8,2013,64983,40378.551693,Diesel,Manual,First,Individual,FWD,3795,1680,1427,5
6384,2017,92270,57333.90217,Petrol,Manual,First,Individual,FWD,3955,1694,1544,5
4312,2013,65000,40389.115,Petrol,Manual,First,Individual,FWD,3970,1682,1453,5
3920,2014,110000,68350.81,Diesel,Manual,First,Individual,FWD,3990,1680,1505,5
26264,2017,47000,29204.437,Petrol,Automatic,First,Individual,FWD,4825,1825,1480,5
18480,2022,10000,6213.71,Petrol,Automatic,First,Individual,AWD,3985,1820,1844,4
12320,2011,51500,32000.6065,Diesel,Automatic,Second,Individual,RWD,4596,1770,1447,5
32480,2018,35000,21747.985,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5
6104,2017,61518,38225.501178,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
33488,2018,34000,21126.614,Diesel,Automatic,First,Corporate,RWD,4454,2044,1545,5
6888,2017,36058,22405.395518,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
9968,2016,88000,54680.648,Diesel,Automatic,First,Individual,FWD,4270,1780,1630,5
4816,2015,98112,60963.951552,Petrol,Manual,First,Individual,FWD,4384,1699,1466,5
18480,2013,58000,36039.518,Diesel,Automatic,First,Individual,RWD,4596,1770,1447,5
17908.8,2015,92355,57386.718705,Petrol,Automatic,First,Individual,FWD,4825,1825,1480,5
7739.2,2019,16652,10347.069892,Petrol,Manual,First,Individual,FWD,3995,1735,1515,5
7280,2016,76584,47587.076664,Diesel,Manual,First,Individual,FWD,4331,1822,1671,5
4648,2015,42500,26408.2675,CNG,Manual,First,Individual,FWD,3599,1495,1700,5
7492.8,2016,70000,43495.97,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
5880,2015,68766,42729.198186,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
8400,2018,16339,10152.580769,Petrol,Manual,First,Individual,FWD,4375,1700,1475,5
4984,2016,63882,39694.422222,Petrol,Manual,First,Individual,FWD,3990,1680,1505,5
5521.6,2012,28732,17853.231572,Petrol,Manual,First,Individual,FWD,4540,1760,1480,5
6843.2,2017,51349,31906.779479,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
5320,2014,61866,38441.738286,Petrol,Automatic,First,Individual,FWD,3765,1660,1520,5
10360,2017,29401,18268.928771,Petrol,Manual,First,Individual,FWD,4270,1780,1630,5
14840,2012,98580,61254.75318,Diesel,Automatic,First,Individual,FWD,4915,1874,1455,5
43680,2021,8000,4970.968,Diesel,Automatic,First,Individual,RWD,4454,2044,1545,5
14548.8,2020,31348,19478.738108,Diesel,Manual,First,Individual,FWD,3995,1821,1627,5
6496,2018,28851,17927.174721,Diesel,Manual,First,Corporate,FWD,3840,1735,1530,5
17640,2021,8519,5293.459549,Petrol,Manual,First,Individual,AWD,3985,1820,1844,4
4200,2011,78000,48466.938,Petrol,Manual,First,Individual,FWD,4420,1695,1480,5
25200,2015,48000,29825.808,Diesel,Automatic,First,Individual,RWD,4879,1854,1474,5
15680,2014,143000,88856.053,Diesel,Automatic,Second,,RWD,4705,1840,1850,7
4760,2014,24000,14912.904,Petrol,Automatic,Second,Individual,FWD,4386,1699,1466,5
2800,2015,62000,38525.002,Petrol,Manual,Second,Individual,FWD,3395,1490,1475,5
4760,2012,78000,48466.938,Diesel,Manual,Second,Individual,FWD,4265,1695,1685,7
2632,2014,82000,50952.422,Diesel,Manual,Second,Individual,FWD,3795,1680,1427,5
34160,2020,40910,25420.28761,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5
24024,2020,10290,6393.90759,Diesel,Manual,First,Individual,FWD,4598,1894,1706,5
13944,2021,10530,6543.03663,Petrol,Automatic,First,Individual,FWD,3995,1775,1505,5
6148.8,2015,61900,38462.8649,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
5431.9888,2013,78000,48466.938,Diesel,Manual,Second,Individual,FWD,3970,1682,1453,5
4648,2014,57402,35667.938142,Petrol,Manual,First,Individual,FWD,3995,1695,1555,5
2240,2013,57000,35418.147,CNG,Manual,First,Individual,FWD,3565,1525,1590,5
4200,2015,87500,54369.9625,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
21000,2022,18000,11184.678,Petrol,Automatic,First,Individual,FWD,4300,1790,1635,5
33040,2020,10700,6648.6697,Petrol,Automatic,First,Individual,AWD,4318,1805,1548,5
11760,2020,16282,10117.162622,Petrol,Automatic,First,Individual,FWD,3995,1775,1505,5
5264,2013,66000,41010.486,Diesel,Manual,Third,Individual,FWD,4370,1700,1475,5
3864,2017,72019,44750.518049,Petrol,Manual,Second,Individual,FWD,3599,1495,1700,5
6160,2007,92170,57271.76507,Diesel,Manual,Second,Individual,RWD,4495,1817,1975,7
5431.9888,2018,55221,34312.727991,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
37520,2018,25000,15534.275,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7
9968,2020,23500,14602.2185,Petrol,Manual,First,Individual,FWD,4360,1822,1695,5
3640,2012,68000,42253.228,Petrol,Manual,Second,Individual,FWD,3995,1695,1555,5
15568,2019,29096,18079.410616,Petrol,Automatic,First,Individual,FWD,4270,1780,1665,5
5151.9888,2016,61223,38042.196733,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
12040,2017,86000,53437.906,Diesel,Manual,First,Individual,FWD,4395,1818,1640,5
5431.9888,2013,87000,54059.277,Diesel,Manual,First,Individual,FWD,4440,1729,1475,5
4312,2013,79287,49266.642477,Petrol,Manual,First,Individual,FWD,3995,1710,1505,5
43680,2018,48945,30413.003595,Diesel,Automatic,First,Corporate,FWD,4933,1874,1455,5
11760,2019,17000,10563.307,Diesel,Manual,First,Individual,FWD,4585,1866,1774,8
17640,2019,55000,34175.405,Diesel,Manual,First,Individual,FWD,4315,1800,1645,5
7336,2016,38779,24096.146009,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
9688,2016,67000,41631.857,Diesel,Manual,First,Individual,FWD,4296,1695,1685,7
7828.8,2017,67000,41631.857,Petrol,Manual,First,Individual,FWD,4370,1700,1475,5
4760,2012,70000,43495.97,Diesel,Manual,Second,Individual,FWD,4370,1700,1475,5
32480,2017,46000,28583.066,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7
5488,2015,23103,14355.534213,Petrol,Manual,First,Individual,FWD,3995,1660,1520,5
16520,2019,9576,5950.248696,Petrol,Automatic,First,Individual,FWD,4270,1780,1665,5
19767.9888,2021,1942,1206.702482,Petrol,Automatic,First,Individual,FWD,4323,1809,1650,5
2800,2006,119300,74129.5603,Petrol,Automatic,Third,Individual,AWD,4630,1780,1710,5
2744,2016,55000,34175.405,Petrol,Manual,First,Individual,FWD,3395,1490,1475,5
5488,2015,98000,60894.358,Diesel,Manual,Second,Individual,FWD,4315,1822,1695,5
6160,2017,61400,38152.1794,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
7560,2016,87693,54489.887103,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5
24920,2015,31000,19262.501,Petrol,Automatic,First,Individual,RWD,4686,1810,1442,5
6272,2016,75210,46733.31291,Diesel,Manual,First,Individual,FWD,3985,1734,1505,5
2520,2012,69000,42874.599,Petrol,Manual,First,Individual,FWD,4000,1642,1522,5
5588.8,2014,88000,54680.648,Diesel,Automatic,Second,Individual,FWD,4386,1699,1466,5
11816,2020,15000,9320.565,Petrol,Automatic,First,Individual,FWD,3995,1790,1647,5
22948.7888,2020,45350,28179.17485,Diesel,Automatic,First,Individual,FWD,4585,1890,1785,7
31080,2018,68189,42370.667119,Diesel,Automatic,First,Individual,RWD,4633,1811,1429,5
18480,2015,75000,46602.825,Diesel,Automatic,First,Individual,FWD,4417,1804,1494,5
16240,2014,33000,20505.243,Diesel,Automatic,Second,Individual,FWD,4915,1874,1455,5
6720,2014,83000,51573.793,Diesel,Manual,Second,Individual,RWD,4430,1817,1975,8
18760,2014,211000,131109.281,Diesel,Manual,First,Individual,AWD,4705,1840,1850,7
6440,2015,67000,41631.857,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
7828.8,2017,75000,46602.825,Diesel,Manual,First,Individual,FWD,3999,1765,1708,5
27440,2014,48600,30198.6306,Diesel,Automatic,Second,Individual,AWD,5089,1983,1737,6
31080,2016,48000,29825.808,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5
4816,2020,5790,3597.73809,Petrol,Manual,First,Individual,FWD,3565,1520,1564,5
13048,2018,32000,19883.872,Diesel,Manual,First,Individual,RWD,4456,1820,1995,7
19936,2020,65433,40658.168643,Diesel,Manual,First,Individual,FWD,4655,1835,1760,5
3304,2011,87230,54202.19233,Diesel,Manual,First,Individual,FWD,3760,1690,1530,5
5544,2017,38258,23772.411718,Diesel,Manual,Second,Individual,FWD,3840,1735,1530,5
10920,2019,56881,35344.203851,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5
4760,2014,72000,44738.712,Diesel,Manual,Second,Individual,FWD,4315,1822,1695,5
15120,2012,72000,44738.712,Diesel,Automatic,UnRegistered Car,Individual,AWD,4385,1831,1608,5
35840,2014,60514,37601.644694,Diesel,Automatic,First,Individual,AWD,4781,1911,1774,5
14000,2013,71141,44204.954311,Diesel,Automatic,First,Individual,FWD,4370,1783,1458,5
6272,2013,37000,22990.727,Diesel,Manual,First,Individual,FWD,3995,1695,1555,5
13675.2,2019,46000,28583.066,Diesel,Manual,First,Individual,RWD,4456,1820,1995,7
3304,2009,70200,43620.2442,Petrol,Automatic,Second,Individual,FWD,4420,1695,1480,5
14560,2012,64800,40264.8408,Petrol,Automatic,First,Individual,RWD,4596,1770,1447,5
10640,2016,73000,45360.083,Diesel,Automatic,First,Individual,FWD,4270,1780,1630,5
15120,2012,72000,44738.712,Diesel,Automatic,Second,Individual,RWD,4868,1854,1471,5
30038.4,2015,76345,47438.568995,Diesel,Automatic,First,Individual,AWD,4804,2141,1796,5
3203.2,2017,40564,25205.293244,Petrol,Manual,First,Individual,FWD,3395,1490,1475,5
3808,2013,98500,61205.0435,Diesel,Manual,First,Individual,FWD,3995,1710,1505,5
12600,2020,46807,29084.512397,Petrol,Automatic,First,Individual,FWD,4413,1699,1466,5
6496,2018,81000,50331.051,Petrol,Automatic,First,Individual,FWD,3994,1811,1607,5
5544,2015,13716,8522.724636,Petrol,Manual,First,Individual,FWD,3995,1695,1555,5
6160,2014,89000,55302.019,Diesel,Manual,First,Individual,FWD,3995,1695,1555,5
16632,2021,13000,8077.823,Diesel,Automatic,First,Individual,FWD,3995,1790,1647,5
9912,2018,38000,23612.098,Petrol,Manual,First,Individual,FWD,4413,1699,1466,5
40880,2012,25500,15844.9605,Petrol,Automatic,Second,Corporate,AWD,4649,1860,1366,5
8008,2020,17000,10563.307,Petrol,Automatic,First,Individual,FWD,3805,1680,1520,5
27832,2012,44724,27790.196604,Petrol,Automatic,First,Individual,AWD,5157,2183,1659,7
25200,2020,24549,15254.036679,Diesel,Manual,Second,Individual,RWD,4735,1830,1795,7
11760,2017,97000,60272.987,Diesel,Automatic,First,Corporate,FWD,4270,1780,1630,5
40320,2018,7800,4846.6938,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7
3304,2010,78000,48466.938,Petrol,Manual,First,Corporate,FWD,4420,1695,1480,5
4200,2019,55000,34175.405,Petrol,Manual,First,Individual,FWD,3679,1579,1478,5
26824,2021,13594,8446.917374,Diesel,Automatic,First,Individual,FWD,4661,1894,1786,6
19880,2014,75000,46602.825,Diesel,Automatic,First,Individual,FWD,4915,1874,1455,5
3640,2014,43037,26741.943727,Petrol,Manual,First,Individual,FWD,3610,1680,1500,5
4760,2013,26000,16155.646,Diesel,Manual,First,Individual,FWD,3850,1695,1530,5
16520,2020,78000,48466.938,Diesel,Manual,First,Individual,RWD,4456,1820,1995,7
17696,2018,115000,71457.665,Diesel,Automatic,First,Individual,RWD,4735,1830,1795,7
9732.8,2021,8700,5405.9277,Petrol,Automatic,First,Individual,FWD,3995,1695,1501,5
21280,2020,41736,25933.540056,Diesel,Automatic,First,Individual,AWD,4395,1818,1640,5
39760,2020,55000,34175.405,Diesel,Automatic,First,Corporate,RWD,4795,1855,1835,7
39200,2014,160000,99419.36,Petrol,Automatic,First,Individual,AWD,4846,1939,1702,5
27160,2022,11000,6835.081,Diesel,Automatic,First,Individual,RWD,4735,1830,1795,7
8400,2011,117000,72700.407,Diesel,Manual,Second,Individual,AWD,4695,1840,1850,7
24640,2014,95000,59030.245,Diesel,Automatic,First,Individual,AWD,5089,1983,1737,7
5824,2019,76000,47224.196,CNG,Manual,First,Individual,FWD,3655,1620,1675,5
4368,2018,18000,11184.678,Petrol,Manual,First,Individual,FWD,3545,1490,1475,5
6048,2015,38000,23612.098,Petrol,Manual,First,Individual,FWD,4490,1730,1485,5
7828.8,2018,43000,26718.953,Diesel,Automatic,First,Individual,FWD,3840,1735,1530,5
5431.9888,2013,107000,66486.697,Diesel,Manual,First,Individual,FWD,4370,1700,1475,5
9520,2011,85000,52816.535,Diesel,Automatic,Second,Individual,RWD,4868,1854,1471,5
12152,2018,8922,5543.872062,Petrol,Automatic,First,Individual,FWD,3994,1811,1607,5
3572.8,2013,47800,29701.5338,Petrol,Manual,First,Individual,FWD,3395,1490,1475,5
6148.8,2012,143000,88856.053,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7
19320,2019,68758,42724.227218,Diesel,Manual,First,Individual,FWD,4598,1894,1706,5
5320,2015,72000,44738.712,Diesel,Manual,Second,Individual,FWD,4386,1683,1603,7
9968,2022,7500,4660.2825,Petrol,Manual,First,Individual,FWD,3827,1742,1615,5
4984,2016,22402,13919.953142,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
11872,2019,12382,7693.815722,Petrol,Manual,First,Corporate,FWD,4440,1695,1495,5
7728,2017,61000,37903.631,Diesel,Manual,First,Individual,FWD,3995,1745,1500,5
47040,2018,90868,56462.740028,Diesel,Automatic,First,Individual,AWD,4731,2071,1651,5
19600,2015,72000,44738.712,Diesel,Automatic,Second,Individual,AWD,4705,1840,1850,7
4424,2018,75500,46913.5105,Petrol,Manual,First,Individual,FWD,3679,1579,1478,5
31248,2018,25000,15534.275,Diesel,Automatic,First,Individual,FWD,4439,1821,1612,5
27720,2018,38000,23612.098,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5
1624,2009,39586,24597.592406,Petrol,Manual,First,Individual,FWD,3520,1475,1690,5
8400,2018,33647,20907.270037,Petrol,Automatic,First,Individual,FWD,3985,1734,1505,5
10640,2016,86000,53437.906,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7
6372.8,2018,57847,35944.448237,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
5264,2016,74000,45981.454,Petrol,Manual,First,Individual,FWD,3995,1695,1555,5
5040,2014,85000,52816.535,Diesel,Manual,Second,Individual,FWD,4331,1822,1671,5
3348.8,2016,26000,16155.646,Petrol,Manual,First,Individual,FWD,3679,1579,1478,5
21000,2020,18000,11184.678,Petrol,Automatic,First,Individual,FWD,4300,1790,1635,5
20440,2022,11000,6835.081,Diesel,Automatic,First,Individual,AWD,3985,1820,1844,4
49940.8,2018,57300,35604.5583,Diesel,Automatic,First,Individual,AWD,4600,2069,1724,7
8848,2019,25000,15534.275,Petrol,Automatic,First,Individual,FWD,3995,1745,1510,5
12264,2017,39000,24233.469,Petrol,Automatic,Second,Individual,FWD,4270,1780,1630,5
21840,2020,45000,27961.695,Diesel,Manual,First,Individual,RWD,4735,1830,1795,7
5880,2015,80852,50239.088092,Petrol,Automatic,Second,Individual,FWD,3970,1682,1453,5
23520,2018,75592,46970.676632,Diesel,Automatic,First,Individual,RWD,4825,1860,1840,7
3024,2014,54420,33815.00982,Petrol,Manual,First,Individual,FWD,3620,1475,1460,5
10023.9888,2015,39780,24718.13838,Petrol,Automatic,First,Individual,FWD,4620,1775,1475,5
3752,2013,78301,48653.970671,Petrol,Automatic,Second,Individual,FWD,3585,1595,1550,5
11200,2018,38000,23612.098,Diesel,Manual,First,Individual,RWD,4788,1903,1791,7
2464,2009,126535,78625.179485,Petrol,Manual,First,Individual,FWD,3565,1595,1550,5
10752,2016,37079,23039.815309,Petrol,Automatic,First,Individual,FWD,4270,1780,1630,5
14560,2014,51000,31689.921,Diesel,Automatic,Second,Individual,AWD,4385,1831,1608,5
4200,2013,39000,24233.469,Petrol,Manual,First,Individual,FWD,3970,1682,1453,5
36948.8,2017,29999,18640.508629,Diesel,Automatic,First,Individual,RWD,4795,1967,1416,5
20148.7888,2016,84700,52630.1237,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5
6104,2014,56000,34796.776,Petrol,Manual,First,Individual,FWD,4370,1700,1475,5
12152,2022,3383,2102.098093,Petrol,Manual,First,Individual,FWD,3995,1770,1605,5
8120,2018,42000,26097.582,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
12208,2012,65000,40389.115,Diesel,Automatic,Second,Individual,AWD,4648,1881,1661,5
10080,2019,17000,10563.307,Petrol,Manual,First,Individual,FWD,3999,1734,1601,5
38080,2016,38000,23612.098,Diesel,Automatic,Second,Individual,RWD,4936,1868,1479,5
3304,2014,62500,38835.6875,Diesel,Manual,First,Individual,FWD,3990,1680,1505,5
25211.2,2021,30229,18783.423959,Diesel,Automatic,First,Individual,FWD,4598,1894,1706,5
4816,2016,26600,16528.4686,CNG,Manual,First,Individual,FWD,3599,1495,1700,5
6720,2017,86000,53437.906,Diesel,Manual,Second,Individual,FWD,4490,1730,1485,5
17864,2017,86000,53437.906,Petrol,Automatic,First,Individual,FWD,4475,1850,1660,5
4200,2013,29135,18103.644085,Petrol,Manual,First,Individual,FWD,3995,1710,1505,5
13440,2015,50965,31668.173015,Diesel,Automatic,First,Corporate,FWD,4370,1783,1458,5
17080,2014,72000,44738.712,Diesel,Automatic,First,Individual,RWD,4705,1840,1850,7
29960,2016,28000,17398.388,Petrol,Automatic,First,Individual,RWD,4686,1810,1442,5
6104,2015,42000,26097.582,Petrol,Automatic,First,Individual,FWD,3955,1694,1544,5
2184,2010,32000,19883.872,Petrol,Manual,First,Individual,FWD,3900,1695,1535,5
27988.8,2015,50623,31455.664133,Diesel,Automatic,Second,Individual,AWD,4465,1900,1635,5
12286.4,2022,1700,1056.3307,Diesel,Manual,First,Individual,FWD,3995,1770,1605,5
12264,2020,43260,26880.50946,Petrol,Automatic,First,Individual,FWD,3971,1682,1469,5
3640,2015,67738,42090.428798,CNG,Manual,Second,Individual,FWD,3599,1495,1700,5
15400,2019,69000,42874.599,Diesel,Manual,First,Individual,AWD,4456,1820,1995,7
8344,2021,14722,9147.823862,Petrol,Manual,First,Individual,FWD,3845,1735,1530,5
24360,2017,29000,18019.759,Diesel,Manual,First,Individual,RWD,4735,1830,1795,7
14000,2017,60200,37406.5342,Petrol,Automatic,First,Corporate,FWD,4395,1818,1640,5
5600,2017,140000,86991.94,Diesel,Manual,First,Individual,FWD,3850,1695,1530,5
7000,2017,23798,14787.387058,Petrol,Manual,First,Individual,FWD,3999,1734,1601,5
2800,2011,55000,34175.405,Petrol,Manual,First,Individual,FWD,4420,1695,1480,5
7280,2017,51000,31689.921,Petrol,Automatic,First,Individual,FWD,4384,1699,1466,5
3472,2014,49000,30447.179,Petrol,Manual,Second,Individual,FWD,3610,1680,1500,5
6720,2017,48000,29825.808,Petrol,Manual,First,Individual,FWD,4315,1822,1695,5
3304,2013,74000,45981.454,Diesel,Manual,First,Individual,FWD,4291,1722,1496,5
5431.9888,2012,102000,63379.842,Diesel,Manual,Second,Individual,FWD,4585,1890,1785,7
47600,2018,32000,19883.872,Petrol,Automatic,First,Individual,RWD,4936,1868,1479,5
4200,2013,97000,60272.987,Diesel,Manual,First,Individual,RWD,4655,1965,1922,7
18200,2021,16000,9941.936,Petrol,Automatic,First,Individual,FWD,4315,1800,1645,5
47600,2017,80000,49709.68,Diesel,Automatic,First,Individual,AWD,4922,2004,1745,5
5376,2014,115000,71457.665,Diesel,Manual,First,Individual,FWD,3999,1765,1708,5
6608,2020,74000,45981.454,Petrol,Manual,First,Individual,FWD,3805,1680,1520,5
6283.2,2015,61000,37903.631,Diesel,Manual,First,Individual,FWD,3985,1734,1505,5
8120,2014,104814,65128.379994,Petrol,Manual,First,Individual,FWD,4540,1760,1480,5
7224,2013,17000,10563.307,Petrol,Manual,First,Individual,FWD,4530,1775,1470,5
18984,2015,60000,37282.26,Diesel,Automatic,Second,Individual,AWD,4385,1831,1608,5
5040,2016,45000,27961.695,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
15400,2016,75811,47106.756881,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7
19040,2021,3813,2369.287623,Petrol,Manual,First,Individual,AWD,3985,1820,1855,4
5880,2016,64928,40344.376288,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
6608,2018,68500,42563.9135,Diesel,Manual,First,Individual,FWD,3995,1735,1515,5
16744,2014,85000,52816.535,Diesel,Automatic,First,Individual,RWD,4705,1840,1850,7
36960,2017,41296,25660.136816,Diesel,Automatic,First,Individual,RWD,4899,2094,1464,5
4312,2013,72567,45091.029357,Diesel,Manual,First,Individual,FWD,3990,1680,1505,5
