id,split,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,was_contacted_before,campaign_intensity,age_group,quarter
28,labeled,32,technician,single,secondary,no,225.0,yes,no,cellular,18,may,442.0,1,266,8,failure,yes,1,0.1111111111111111,adulto_joven,Q2
29,labeled,35,technician,divorced,secondary,no,0.0,no,no,cellular,25,aug,124.0,4,-1,0,unknown,no,0,4.0,adulto_joven,Q3
30,labeled,32,management,married,tertiary,no,549.0,yes,no,cellular,22,jul,72.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q3
32,labeled,39,management,married,secondary,no,0.0,yes,no,cellular,27,aug,63.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q3
33,labeled,41,technician,married,tertiary,no,736.0,yes,no,cellular,14,may,125.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
34,labeled,58,management,married,tertiary,no,2725.0,no,no,cellular,18,jun,188.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
35,labeled,34,technician,single,secondary,no,337.0,yes,no,cellular,6,feb,154.0,2,197,6,failure,no,1,0.2857142857142857,adulto_joven,Q1
36,labeled,39,blue-collar,single,secondary,no,912.0,no,no,cellular,5,jun,20.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
37,labeled,41,admin.,divorced,secondary,no,3832.0,no,no,cellular,26,apr,234.0,10,-1,0,unknown,no,0,10.0,adulto_joven,Q2
38,labeled,27,admin.,married,secondary,no,-245.0,yes,yes,cellular,4,jun,344.0,2,-1,0,unknown,no,0,2.0,joven,Q2
39,labeled,53,technician,divorced,secondary,no,749.0,yes,no,cellular,16,may,343.0,4,-1,0,unknown,no,0,4.0,adulto,Q2
40,labeled,34,management,married,tertiary,no,566.0,no,no,cellular,10,aug,122.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q3
41,labeled,37,admin.,married,secondary,no,168.0,yes,no,cellular,5,may,147.0,2,347,1,failure,no,1,1.0,adulto_joven,Q2
42,labeled,73,retired,married,primary,no,800.0,no,no,cellular,23,oct,427.0,1,182,2,failure,yes,1,0.3333333333333333,senior,Q4
43,labeled,41,blue-collar,married,secondary,no,-250.0,yes,no,cellular,3,jun,147.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
44,labeled,32,entrepreneur,married,primary,no,798.0,no,no,cellular,8,aug,131.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q3
45,labeled,48,technician,married,secondary,no,10.0,no,no,cellular,9,jun,65.0,6,-1,0,unknown,no,0,6.0,adulto,Q2
46,labeled,46,entrepreneur,single,tertiary,no,1413.0,yes,no,cellular,19,nov,93.0,1,189,8,failure,no,1,0.1111111111111111,adulto,Q4
48,labeled,41,blue-collar,married,primary,no,-195.0,yes,yes,cellular,6,jun,42.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
49,labeled,33,blue-collar,single,secondary,no,-313.0,no,no,cellular,18,may,268.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
50,labeled,31,technician,married,secondary,no,167.0,no,no,cellular,27,aug,81.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q3
53,labeled,35,blue-collar,divorced,secondary,no,270.0,no,yes,cellular,10,jul,144.0,5,-1,0,unknown,no,0,5.0,adulto_joven,Q3
55,labeled,44,self-employed,single,tertiary,no,2726.0,yes,no,cellular,12,may,897.0,4,-1,0,unknown,yes,0,4.0,adulto_joven,Q2
56,labeled,41,technician,married,tertiary,no,186.0,yes,no,telephone,11,jul,117.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
57,labeled,49,self-employed,married,secondary,no,2576.0,yes,no,cellular,15,may,64.0,6,-1,0,unknown,no,0,6.0,adulto,Q2
58,labeled,34,blue-collar,married,secondary,no,8307.0,yes,yes,cellular,19,nov,50.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q4
59,labeled,31,technician,single,secondary,no,1091.0,yes,no,cellular,12,jun,93.0,8,-1,0,unknown,no,0,8.0,adulto_joven,Q2
61,labeled,41,unemployed,married,tertiary,no,1668.0,no,no,cellular,9,jun,291.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q2
62,labeled,31,services,married,secondary,no,341.0,yes,no,cellular,28,jan,155.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q1
63,labeled,34,admin.,married,secondary,no,391.0,yes,no,cellular,16,jul,101.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q3
64,labeled,43,management,married,primary,no,8171.0,yes,no,cellular,19,may,114.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
65,labeled,48,services,married,secondary,no,124.0,yes,no,telephone,20,apr,70.0,4,-1,0,unknown,no,0,4.0,adulto,Q2
66,labeled,43,technician,married,secondary,no,7870.0,yes,no,cellular,11,aug,209.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
67,labeled,37,self-employed,married,tertiary,no,0.0,no,no,cellular,6,jun,143.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
68,labeled,43,technician,married,secondary,no,49.0,no,no,cellular,28,may,63.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
70,labeled,57,retired,married,primary,no,5807.0,no,no,cellular,17,jun,97.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
72,labeled,50,management,single,primary,no,758.0,no,no,cellular,17,jun,174.0,2,-1,0,unknown,no,0,2.0,adulto,Q2
75,labeled,41,blue-collar,married,secondary,no,4894.0,yes,no,telephone,31,jul,121.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
76,labeled,56,services,married,secondary,no,13689.540000000003,yes,no,cellular,21,nov,189.0,1,-1,0,unknown,no,0,1.0,adulto,Q4
78,labeled,36,services,divorced,secondary,no,1585.0,no,no,cellular,6,jun,250.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q2
79,labeled,53,technician,married,secondary,no,724.0,yes,no,cellular,14,may,230.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
81,labeled,60,management,married,primary,no,4902.0,no,no,cellular,9,jun,313.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
82,labeled,49,management,married,tertiary,no,851.0,yes,no,cellular,20,nov,408.0,1,-1,0,unknown,no,0,1.0,adulto,Q4
83,labeled,26,entrepreneur,single,tertiary,no,81.0,no,no,cellular,21,jul,262.0,3,-1,0,unknown,no,0,3.0,joven,Q3
84,labeled,37,management,married,tertiary,no,4041.0,no,yes,cellular,25,jul,106.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
85,labeled,46,blue-collar,married,primary,no,2756.0,yes,no,cellular,17,nov,332.0,1,-1,0,unknown,no,0,1.0,adulto,Q4
86,labeled,38,management,single,tertiary,no,0.0,yes,no,cellular,17,nov,213.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q4
87,labeled,51,technician,married,secondary,no,468.0,yes,no,cellular,13,may,213.0,5,-1,0,unknown,no,0,5.0,adulto,Q2
88,labeled,34,technician,single,secondary,no,23.0,no,no,cellular,13,aug,990.0,1,-1,0,unknown,yes,0,1.0,adulto_joven,Q3
90,labeled,40,entrepreneur,married,primary,no,0.0,yes,no,cellular,11,jul,271.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
91,labeled,33,blue-collar,married,primary,no,237.0,yes,yes,cellular,8,may,253.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q2
92,labeled,42,management,married,tertiary,no,491.0,yes,no,cellular,11,jul,144.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
93,labeled,28,student,single,secondary,no,11555.0,no,no,cellular,8,apr,125.0,2,-1,0,unknown,no,0,2.0,joven,Q2
94,labeled,59,blue-collar,married,secondary,no,5318.0,yes,no,cellular,5,may,200.0,3,-1,0,unknown,no,0,3.0,adulto,Q2
95,labeled,46,self-employed,married,secondary,no,543.0,no,no,cellular,12,aug,1031.94,4,-1,0,unknown,yes,0,4.0,adulto,Q3
96,labeled,45,blue-collar,married,secondary,no,778.0,yes,yes,cellular,3,jun,34.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
97,labeled,44,entrepreneur,married,secondary,no,6657.0,yes,no,cellular,19,nov,354.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q4
98,labeled,48,services,married,primary,yes,-577.0,yes,no,cellular,2,jun,25.0,7,-1,0,unknown,no,0,7.0,adulto,Q2
99,labeled,52,entrepreneur,married,primary,no,601.0,no,no,cellular,21,jul,122.0,2,-1,0,unknown,no,0,2.0,adulto,Q3
100,labeled,56,management,married,tertiary,no,327.0,yes,no,cellular,15,may,127.0,2,-1,0,unknown,no,0,2.0,adulto,Q2
101,labeled,59,retired,married,primary,no,1428.0,no,no,cellular,18,jun,140.0,2,-1,0,unknown,no,0,2.0,adulto,Q2
102,labeled,38,entrepreneur,single,secondary,no,2540.0,no,no,cellular,10,aug,223.0,1,414,4,failure,yes,1,0.2,adulto_joven,Q3
104,labeled,47,entrepreneur,married,secondary,no,199.0,yes,no,cellular,6,may,135.0,2,-1,0,unknown,no,0,2.0,adulto,Q2
105,labeled,41,blue-collar,married,secondary,no,774.0,yes,no,cellular,15,may,432.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q2
108,labeled,55,blue-collar,married,secondary,no,29.0,no,no,cellular,13,aug,123.0,2,-1,0,unknown,no,0,2.0,adulto,Q3
109,labeled,44,unemployed,married,tertiary,no,171.0,no,no,cellular,8,aug,126.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
110,labeled,60,unemployed,divorced,secondary,no,386.0,yes,no,cellular,4,feb,80.0,1,-1,0,unknown,no,0,1.0,adulto,Q1
111,labeled,57,management,married,tertiary,no,0.0,yes,no,cellular,21,nov,67.0,1,-1,0,unknown,no,0,1.0,adulto,Q4
112,labeled,39,blue-collar,married,primary,no,13.0,yes,no,cellular,7,may,109.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
113,labeled,34,admin.,single,secondary,no,6988.0,yes,no,cellular,15,may,14.0,5,-1,0,unknown,no,0,5.0,adulto_joven,Q2
114,labeled,29,student,single,secondary,no,875.0,yes,no,cellular,7,may,230.0,1,-1,0,unknown,no,0,1.0,joven,Q2
115,labeled,35,services,married,secondary,no,149.0,yes,no,cellular,2,jun,563.0,1,-1,0,unknown,yes,0,1.0,adulto_joven,Q2
116,labeled,57,technician,married,secondary,no,287.0,no,no,cellular,19,aug,151.0,11,-1,0,unknown,no,0,11.0,adulto,Q3
118,labeled,44,entrepreneur,married,tertiary,no,3468.0,yes,yes,cellular,28,aug,210.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q3
120,labeled,29,technician,married,secondary,no,453.0,yes,no,cellular,21,jul,130.0,4,-1,0,unknown,no,0,4.0,joven,Q3
121,labeled,36,technician,married,tertiary,no,831.0,no,no,cellular,28,aug,68.0,6,-1,0,unknown,no,0,6.0,adulto_joven,Q3
122,labeled,34,blue-collar,married,secondary,no,329.0,yes,no,cellular,20,apr,10.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q2
123,labeled,49,technician,divorced,tertiary,no,0.0,yes,no,cellular,12,jun,177.0,3,-1,0,unknown,no,0,3.0,adulto,Q2
124,labeled,37,blue-collar,single,primary,no,843.0,yes,no,cellular,15,may,151.0,1,352,1,failure,no,1,0.5,adulto_joven,Q2
125,labeled,46,management,divorced,tertiary,no,1304.0,no,no,cellular,11,aug,716.0,3,-1,0,unknown,yes,0,3.0,adulto,Q3
126,labeled,36,management,married,tertiary,no,1844.0,no,no,cellular,8,may,362.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
127,labeled,31,management,single,tertiary,no,61.0,yes,no,cellular,18,may,175.0,1,293,5,failure,no,1,0.16666666666666666,adulto_joven,Q2
128,labeled,26,blue-collar,married,primary,no,5124.0,yes,no,cellular,22,jul,246.0,3,-1,0,unknown,no,0,3.0,joven,Q3
130,labeled,32,blue-collar,single,primary,no,879.0,no,yes,cellular,29,jul,80.0,8,-1,0,unknown,no,0,8.0,adulto_joven,Q3
131,labeled,46,management,married,tertiary,no,1283.0,yes,no,cellular,27,may,89.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
132,labeled,28,technician,single,secondary,no,392.0,yes,no,cellular,11,may,15.0,7,-1,0,unknown,no,0,7.0,joven,Q2
134,labeled,41,admin.,married,tertiary,no,5424.0,yes,no,cellular,14,may,149.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
135,labeled,24,admin.,married,secondary,no,299.0,yes,no,cellular,6,may,209.0,1,321,1,failure,no,1,0.5,joven,Q2
136,labeled,30,technician,single,tertiary,no,1187.0,yes,no,cellular,30,apr,284.0,1,339,1,failure,no,1,0.5,joven,Q2
138,labeled,47,management,married,secondary,no,144.0,no,no,cellular,9,jun,52.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
139,labeled,60,retired,married,secondary,no,68.0,yes,no,cellular,12,may,113.0,3,-1,0,unknown,no,0,3.0,adulto,Q2
140,labeled,42,technician,divorced,secondary,no,0.0,yes,no,cellular,30,may,115.0,6,-1,0,unknown,no,0,6.0,adulto_joven,Q2
141,labeled,49,technician,married,tertiary,no,281.0,yes,no,cellular,19,may,168.0,4,-1,0,unknown,no,0,4.0,adulto,Q2
142,labeled,29,student,single,secondary,no,2933.0,no,no,cellular,11,aug,91.0,1,-1,0,unknown,no,0,1.0,joven,Q3
145,labeled,34,unemployed,married,secondary,no,0.0,yes,no,cellular,13,may,172.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
146,labeled,40,blue-collar,married,primary,no,1403.0,yes,no,telephone,12,may,58.0,2,334,1,failure,no,1,1.0,adulto_joven,Q2
147,labeled,30,unemployed,single,tertiary,no,295.0,no,no,cellular,11,feb,528.0,3,-1,0,unknown,yes,0,3.0,joven,Q1
148,labeled,49,unemployed,divorced,secondary,no,58.0,no,no,cellular,9,jul,218.0,3,-1,0,unknown,no,0,3.0,adulto,Q3
149,labeled,32,technician,married,secondary,no,269.0,yes,no,cellular,19,aug,168.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
150,labeled,57,admin.,married,secondary,no,-620.4,yes,no,telephone,15,may,8.0,7,-1,0,unknown,no,0,7.0,adulto,Q2
151,labeled,31,blue-collar,married,secondary,no,184.0,yes,no,cellular,2,jun,40.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
152,labeled,30,services,single,primary,no,78.0,yes,no,cellular,15,may,317.0,1,-1,0,unknown,no,0,1.0,joven,Q2
153,labeled,45,technician,single,tertiary,no,2090.0,no,no,cellular,29,aug,29.0,14,-1,0,unknown,no,0,14.0,adulto_joven,Q3
154,labeled,51,management,single,tertiary,no,294.0,yes,no,cellular,15,may,415.0,4,375,1,failure,yes,1,2.0,adulto,Q2
155,labeled,36,management,single,secondary,no,0.0,no,no,cellular,13,aug,333.0,5,-1,0,unknown,no,0,5.0,adulto_joven,Q3
156,labeled,34,blue-collar,married,primary,no,-315.0,yes,yes,cellular,9,jul,134.0,4,-1,0,unknown,no,0,4.0,adulto_joven,Q3
157,labeled,50,self-employed,divorced,tertiary,no,53.0,yes,no,cellular,28,may,67.0,2,-1,0,unknown,no,0,2.0,adulto,Q2
158,labeled,44,blue-collar,married,secondary,no,-620.4,yes,no,cellular,5,may,257.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
159,labeled,41,blue-collar,married,secondary,no,343.0,yes,no,cellular,14,may,89.0,7,-1,0,unknown,no,0,7.0,adulto_joven,Q2
160,labeled,35,admin.,single,secondary,no,851.0,yes,no,cellular,11,may,85.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
161,labeled,38,blue-collar,married,secondary,no,5100.0,yes,no,cellular,17,jun,145.0,6,-1,0,unknown,no,0,6.0,adulto_joven,Q2
162,labeled,55,blue-collar,married,primary,no,158.0,no,no,cellular,4,sep,15.0,1,-1,0,unknown,no,0,1.0,adulto,Q3
163,labeled,48,management,divorced,tertiary,no,1325.0,yes,no,cellular,6,may,339.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
164,labeled,38,technician,married,secondary,no,1003.0,no,no,cellular,9,jun,119.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
165,labeled,38,management,married,tertiary,no,0.0,yes,no,cellular,20,may,206.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
166,labeled,42,admin.,divorced,secondary,no,1813.0,yes,no,cellular,14,may,150.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
167,labeled,44,technician,single,secondary,no,42.0,yes,no,cellular,13,may,195.0,3,351,10,failure,no,1,0.2727272727272727,adulto_joven,Q2
168,labeled,43,blue-collar,married,tertiary,no,1942.0,no,no,cellular,19,jun,385.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
169,labeled,53,entrepreneur,married,secondary,no,-121.0,yes,no,cellular,9,may,101.0,3,-1,0,unknown,no,0,3.0,adulto,Q2
170,labeled,41,management,married,tertiary,no,3019.0,yes,no,cellular,14,jul,80.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q3
171,labeled,26,services,single,secondary,yes,-157.0,yes,no,cellular,15,may,44.0,2,-1,0,unknown,no,0,2.0,joven,Q2
172,labeled,31,services,married,secondary,no,506.0,yes,no,cellular,6,jun,19.0,18,-1,0,unknown,no,0,18.0,adulto_joven,Q2
173,labeled,36,management,single,tertiary,no,3884.0,yes,no,cellular,27,may,21.0,5,-1,0,unknown,no,0,5.0,adulto_joven,Q2
175,labeled,22,student,single,primary,no,3469.0,no,no,cellular,20,oct,332.0,1,183,3,failure,yes,1,0.25,joven,Q4
176,labeled,30,blue-collar,married,primary,no,-509.0,yes,yes,cellular,28,may,244.0,6,-1,0,unknown,no,0,6.0,joven,Q2
177,labeled,49,housemaid,married,primary,no,248.0,yes,no,cellular,21,nov,450.0,1,-1,0,unknown,no,0,1.0,adulto,Q4
178,labeled,30,blue-collar,married,secondary,no,966.0,yes,no,cellular,13,may,256.0,2,351,2,failure,no,1,0.6666666666666666,joven,Q2
179,labeled,45,blue-collar,single,primary,no,1005.0,no,no,cellular,29,jan,182.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q1
181,labeled,33,management,single,tertiary,no,3152.0,no,no,cellular,29,jun,421.0,2,-1,0,unknown,yes,0,2.0,adulto_joven,Q2
182,labeled,36,admin.,married,secondary,no,2326.0,no,no,cellular,19,nov,111.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q4
183,labeled,32,management,single,tertiary,no,653.0,yes,yes,cellular,20,apr,148.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
184,labeled,34,blue-collar,married,primary,no,87.0,yes,no,cellular,14,may,406.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
185,labeled,53,housemaid,married,primary,no,2584.0,no,no,cellular,15,apr,99.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
188,labeled,52,services,married,secondary,no,432.0,no,no,cellular,26,aug,73.0,17,-1,0,unknown,no,0,17.0,adulto,Q3
189,labeled,29,technician,single,tertiary,no,2485.0,no,no,telephone,24,jul,48.0,6,-1,0,unknown,no,0,6.0,joven,Q3
190,labeled,48,management,married,primary,no,2533.0,no,no,cellular,26,aug,219.0,6,-1,0,unknown,no,0,6.0,adulto,Q3
193,labeled,57,self-employed,married,secondary,no,11496.0,no,no,cellular,19,nov,198.0,1,-1,0,unknown,no,0,1.0,adulto,Q4
194,labeled,41,management,married,tertiary,no,47.0,yes,no,cellular,17,jul,312.0,5,-1,0,unknown,no,0,5.0,adulto_joven,Q3
195,labeled,46,services,married,secondary,no,446.0,yes,yes,cellular,13,may,389.0,4,-1,0,unknown,no,0,4.0,adulto,Q2
196,labeled,36,technician,married,tertiary,no,0.0,no,no,cellular,22,aug,147.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
199,labeled,34,management,married,tertiary,no,0.0,yes,no,cellular,7,aug,262.0,1,99,2,success,yes,1,0.3333333333333333,adulto_joven,Q3
200,labeled,34,management,married,secondary,no,0.0,no,no,cellular,2,feb,270.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q1
201,labeled,49,blue-collar,married,primary,no,942.0,yes,no,cellular,12,jun,66.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
203,labeled,39,management,single,tertiary,no,3796.0,no,no,cellular,2,jun,96.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
204,labeled,39,services,married,secondary,no,237.0,yes,no,cellular,17,apr,244.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
205,labeled,27,blue-collar,single,secondary,no,3799.0,no,no,cellular,22,apr,279.0,2,-1,0,unknown,yes,0,2.0,joven,Q2
206,labeled,55,management,married,primary,no,2592.0,no,no,cellular,4,sep,328.0,2,94,2,success,yes,1,0.6666666666666666,adulto,Q3
207,labeled,37,blue-collar,married,primary,no,658.0,yes,no,cellular,5,feb,127.0,2,258,4,failure,no,1,0.4,adulto_joven,Q1
209,labeled,49,management,single,secondary,no,57.0,yes,no,cellular,29,jan,185.0,2,246,1,failure,no,1,1.0,adulto,Q1
210,labeled,48,management,divorced,tertiary,no,516.0,yes,no,cellular,9,apr,528.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
211,labeled,42,management,married,secondary,no,-193.0,yes,no,cellular,12,may,247.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
213,labeled,40,blue-collar,married,primary,no,1197.0,no,yes,telephone,16,jul,201.0,5,-1,0,unknown,no,0,5.0,adulto_joven,Q3
214,labeled,31,blue-collar,single,primary,no,860.0,yes,no,telephone,14,may,113.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
215,labeled,31,management,married,tertiary,no,0.0,no,no,cellular,14,may,298.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
216,labeled,50,technician,married,secondary,no,0.0,no,no,cellular,7,jul,152.0,2,-1,0,unknown,no,0,2.0,adulto,Q3
217,labeled,41,management,married,tertiary,no,773.0,yes,no,cellular,26,aug,106.0,8,-1,0,unknown,no,0,8.0,adulto_joven,Q3
218,labeled,43,blue-collar,married,primary,no,182.0,yes,no,cellular,12,may,58.0,3,347,5,failure,no,1,0.5,adulto_joven,Q2
219,labeled,40,technician,married,secondary,no,53.0,yes,yes,cellular,29,jan,194.0,1,247,1,failure,no,1,0.5,adulto_joven,Q1
220,labeled,30,admin.,married,secondary,no,20.0,yes,no,cellular,11,may,157.0,1,-1,0,unknown,no,0,1.0,joven,Q2
221,labeled,31,blue-collar,divorced,tertiary,no,137.0,no,no,cellular,22,aug,385.0,9,-1,0,unknown,no,0,9.0,adulto_joven,Q3
222,labeled,45,services,divorced,secondary,no,-180.0,no,no,cellular,3,jul,155.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q3
223,labeled,54,blue-collar,married,primary,no,207.0,no,no,cellular,19,jun,200.0,2,-1,0,unknown,no,0,2.0,adulto,Q2
225,labeled,51,technician,married,secondary,no,509.0,yes,no,cellular,20,nov,26.0,6,-1,0,unknown,no,0,6.0,adulto,Q4
229,labeled,44,technician,divorced,secondary,no,0.0,no,no,cellular,28,jul,264.0,5,-1,0,unknown,no,0,5.0,adulto_joven,Q3
230,labeled,32,management,single,tertiary,no,119.0,yes,no,cellular,5,may,118.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
231,labeled,27,management,single,tertiary,no,451.0,no,no,cellular,23,jun,205.0,3,-1,0,unknown,no,0,3.0,joven,Q2
232,labeled,43,unemployed,divorced,secondary,no,1585.0,yes,no,cellular,19,nov,87.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q4
233,labeled,32,management,single,tertiary,no,142.0,yes,no,cellular,6,may,118.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
236,labeled,35,services,single,secondary,no,422.0,yes,no,cellular,20,apr,11.0,5,319,2,other,no,1,1.6666666666666667,adulto_joven,Q2
237,labeled,53,technician,married,primary,no,6837.0,yes,no,cellular,19,nov,77.0,1,-1,0,unknown,no,0,1.0,adulto,Q4
238,labeled,38,admin.,married,tertiary,no,1996.0,no,no,cellular,27,mar,164.0,2,130,2,failure,yes,1,0.6666666666666666,adulto_joven,Q1
239,labeled,42,management,married,tertiary,no,1197.0,no,no,telephone,8,sep,376.0,2,-1,0,unknown,yes,0,2.0,adulto_joven,Q3
