id,split,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y,month_num,season,month_sin,month_cos,day_sin,day_cos,early_month,late_month,avg_contact_duration,contacts_per_month,financial_stress,education_unknown,age_group,balance_group
13,labeled,38,blue-collar,married,primary,0,504,1,1,unknown,12,122,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791,0,0,122.0,0.16666666666666666,1,0,2,2
14,labeled,30,services,single,secondary,0,0,1,0,cellular,18,131,6,363,9,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,0,0,21.833333333333332,1.2,0,0,1,1
15,labeled,29,management,single,tertiary,0,27,1,0,cellular,14,107,4,371,3,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,26.75,0.8,0,0,1,2
16,labeled,46,management,married,tertiary,0,1366,1,0,cellular,17,308,3,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.2993631229733582,-0.9541392564000488,0,0,102.66666666666667,0.2727272727272727,0,0,3,3
17,labeled,46,unemployed,married,secondary,0,3538,1,0,cellular,12,235,2,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.6513724827222223,-0.758758122692791,0,0,117.5,0.25,0,0,3,3
18,labeled,31,blue-collar,single,tertiary,0,2189,1,0,unknown,23,146,3,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355,0,1,48.666666666666664,0.6,0,0,1,3
20,labeled,33,technician,married,secondary,0,349,1,0,cellular,20,210,1,242,1,other,0,4,spring,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,0,1,210.0,0.25,0,0,1,2
21,labeled,28,management,married,tertiary,0,316,1,0,unknown,27,4,4,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.72479278722912,0.6889669190756865,0,1,1.0,0.8,0,0,1,2
22,labeled,38,unemployed,single,tertiary,0,0,0,0,cellular,6,39,2,-1,0,unknown,0,2,winter,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,1,0,19.5,1.0,0,0,2,1
23,labeled,41,technician,single,secondary,0,1674,1,0,unknown,2,76,2,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,1,0,38.0,0.3333333333333333,0,0,2,3
25,labeled,37,technician,divorced,secondary,0,83,0,0,cellular,21,191,1,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0,1,191.0,0.14285714285714285,0,0,2,2
27,labeled,57,retired,married,secondary,0,374,1,1,cellular,16,236,1,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952,0,0,236.0,0.14285714285714285,1,0,4,2
28,labeled,32,technician,single,secondary,0,225,1,0,cellular,18,442,1,266,8,failure,1,5,spring,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,0,0,442.0,0.2,0,0,1,2
29,labeled,35,technician,divorced,secondary,0,0,0,0,cellular,25,124,4,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,-0.9377521321470804,0.3473052528448203,0,1,31.0,0.5,0,0,2,1
30,labeled,32,management,married,tertiary,0,549,1,0,cellular,22,72,1,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.9680771188662041,-0.2506525322587213,0,1,72.0,0.14285714285714285,0,0,1,2
32,labeled,39,management,married,secondary,0,0,1,0,cellular,27,63,3,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,-0.72479278722912,0.6889669190756865,0,1,21.0,0.375,0,0,2,1
33,labeled,41,technician,married,tertiary,0,736,1,0,unknown,14,125,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,125.0,0.2,0,0,2,2
34,labeled,58,management,married,tertiary,0,2725,0,0,unknown,18,188,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822,0,0,188.0,0.16666666666666666,0,0,4,3
35,labeled,34,technician,single,secondary,0,337,1,0,cellular,6,154,2,197,6,failure,0,2,winter,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,1,0,77.0,1.0,0,0,1,2
36,labeled,39,unknown,single,secondary,0,912,0,0,unknown,5,20,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.8486442574947509,0.5289640103269624,1,0,20.0,0.16666666666666666,0,0,2,2
37,labeled,41,admin.,divorced,secondary,0,3832,0,0,cellular,26,234,10,-1,0,unknown,0,4,spring,0.8660254037844387,-0.4999999999999998,-0.8486442574947509,0.5289640103269624,0,1,23.4,2.5,0,0,2,3
38,labeled,27,admin.,married,secondary,0,-245,1,1,unknown,4,344,2,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866,1,0,172.0,0.3333333333333333,2,0,1,1
39,labeled,53,technician,divorced,secondary,0,749,1,0,unknown,16,343,4,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.10116832198743204,-0.9948693233918952,0,0,85.75,0.8,0,0,3,2
40,labeled,34,management,married,tertiary,0,566,0,0,cellular,10,122,1,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.8978045395707416,-0.4403941515576344,1,0,122.0,0.125,0,0,1,2
41,labeled,37,admin.,married,secondary,0,168,1,0,cellular,5,147,2,347,1,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,0.8486442574947509,0.5289640103269624,1,0,73.5,0.4,0,0,2,2
42,labeled,73,retired,married,primary,0,800,0,0,cellular,23,427,1,182,2,failure,1,10,autumn,-0.8660254037844386,0.5000000000000001,-0.9987165071710528,-0.05064916883871355,0,1,427.0,0.1,0,0,5,2
43,labeled,41,blue-collar,married,secondary,0,-250,1,0,unknown,3,147,2,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,1,0,73.5,0.3333333333333333,1,0,2,1
44,labeled,32,entrepreneur,married,primary,0,798,0,0,cellular,8,131,3,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.9987165071710528,-0.05064916883871264,1,0,43.666666666666664,0.375,0,0,1,2
45,labeled,48,technician,married,secondary,0,10,0,0,unknown,9,65,6,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,1,0,10.833333333333334,1.0,0,0,3,2
46,labeled,46,entrepreneur,single,tertiary,0,1413,1,0,cellular,19,93,1,189,8,failure,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,0,0,93.0,0.09090909090909091,0,0,3,3
48,labeled,41,blue-collar,married,primary,0,-195,1,1,unknown,6,42,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,1,0,42.0,0.16666666666666666,2,0,2,1
49,labeled,33,blue-collar,single,secondary,0,-313,0,0,cellular,18,268,2,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,0,0,134.0,0.4,1,0,1,1
50,labeled,31,technician,married,secondary,0,167,0,0,cellular,27,81,3,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,-0.72479278722912,0.6889669190756865,0,1,27.0,0.375,0,0,1,2
53,labeled,35,blue-collar,divorced,secondary,0,270,0,1,cellular,10,144,5,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,0.8978045395707416,-0.4403941515576344,1,0,28.8,0.7142857142857143,1,0,2,2
55,labeled,44,self-employed,single,tertiary,0,2726,1,0,cellular,12,897,4,-1,0,unknown,1,5,spring,0.49999999999999994,-0.8660254037844387,0.6513724827222223,-0.758758122692791,0,0,224.25,0.8,0,0,2,3
56,labeled,41,technician,married,tertiary,0,186,1,0,telephone,11,117,2,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626,0,0,58.5,0.2857142857142857,0,0,2,2
57,labeled,49,self-employed,married,secondary,0,2576,1,0,cellular,15,64,6,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,10.666666666666666,1.2,0,0,3,3
58,labeled,34,blue-collar,married,secondary,0,8307,1,1,cellular,19,50,1,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,0,0,50.0,0.09090909090909091,1,0,1,4
59,labeled,31,technician,single,secondary,0,1091,1,0,unknown,12,93,8,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791,0,0,11.625,1.3333333333333333,0,0,1,3
61,labeled,41,unemployed,married,tertiary,0,1668,0,0,unknown,9,291,3,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,1,0,97.0,0.5,0,0,2,3
62,labeled,31,services,married,secondary,0,341,1,0,cellular,28,155,1,-1,0,unknown,0,1,winter,0.49999999999999994,0.8660254037844387,-0.5712682150947924,0.8207634412072763,0,1,155.0,1.0,0,0,1,2
63,labeled,34,admin.,married,secondary,0,391,1,0,cellular,16,101,3,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952,0,0,33.666666666666664,0.42857142857142855,0,0,1,2
64,labeled,43,management,married,primary,0,8171,1,0,unknown,19,114,2,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.651372482722222,-0.7587581226927911,0,0,57.0,0.4,0,0,2,4
65,labeled,48,services,married,secondary,0,124,1,0,telephone,20,70,4,-1,0,unknown,0,4,spring,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,0,1,17.5,1.0,0,0,3,2
66,labeled,43,technician,married,secondary,0,7870,1,0,cellular,11,209,2,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.7907757369376989,-0.6121059825476626,0,0,104.5,0.25,0,0,2,4
67,labeled,37,self-employed,married,tertiary,0,0,0,0,unknown,6,143,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,1,0,143.0,0.16666666666666666,0,0,2,1
68,labeled,43,technician,married,secondary,0,49,0,0,unknown,28,63,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.5712682150947924,0.8207634412072763,0,1,63.0,0.2,0,0,2,2
70,labeled,57,retired,married,primary,0,5807,0,0,unknown,17,97,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488,0,0,97.0,0.16666666666666666,0,0,4,4
72,labeled,50,management,single,primary,0,758,0,0,unknown,17,174,2,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488,0,0,87.0,0.3333333333333333,0,0,3,2
75,labeled,41,blue-collar,married,secondary,0,4894,1,0,telephone,31,121,2,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0,0,1,60.5,0.2857142857142857,0,0,2,3
76,labeled,56,services,married,secondary,0,22201,1,0,cellular,21,189,1,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.8978045395707417,-0.44039415155763423,0,1,189.0,0.09090909090909091,0,0,4,5
78,labeled,36,services,divorced,secondary,0,1585,0,0,unknown,6,250,3,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,1,0,83.33333333333333,0.5,0,0,2,3
79,labeled,53,technician,married,secondary,0,724,1,0,unknown,14,230,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,230.0,0.2,0,0,3,2
81,labeled,60,management,married,primary,0,4902,0,0,unknown,9,313,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,1,0,313.0,0.16666666666666666,0,0,4,3
82,labeled,49,management,married,tertiary,0,851,1,0,cellular,20,408,1,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.7907757369376986,-0.6121059825476627,0,1,408.0,0.09090909090909091,0,0,3,2
83,labeled,26,entrepreneur,single,tertiary,0,81,0,0,cellular,21,262,3,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0,1,87.33333333333333,0.42857142857142855,0,0,1,2
84,labeled,37,management,married,tertiary,0,4041,0,1,cellular,25,106,2,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.9377521321470804,0.3473052528448203,0,1,53.0,0.2857142857142857,1,0,2,3
85,labeled,46,blue-collar,married,primary,0,2756,1,0,cellular,17,332,1,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.2993631229733582,-0.9541392564000488,0,0,332.0,0.09090909090909091,0,0,3,3
86,labeled,38,management,single,tertiary,0,0,1,0,cellular,17,213,2,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.2993631229733582,-0.9541392564000488,0,0,106.5,0.18181818181818182,0,0,2,1
87,labeled,51,technician,married,secondary,0,468,1,0,unknown,13,213,5,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.48530196253108104,-0.8743466161445821,0,0,42.6,1.0,0,0,3,2
88,labeled,34,technician,single,secondary,0,23,0,0,cellular,13,990,1,-1,0,unknown,1,8,summer,-0.8660254037844385,-0.5000000000000004,0.48530196253108104,-0.8743466161445821,0,0,990.0,0.125,0,0,1,2
90,labeled,40,entrepreneur,married,primary,0,0,1,0,cellular,11,271,2,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626,0,0,135.5,0.2857142857142857,0,0,2,1
91,labeled,33,blue-collar,married,primary,0,237,1,1,cellular,8,253,3,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.9987165071710528,-0.05064916883871264,1,0,84.33333333333333,0.6,1,0,1,2
92,labeled,42,management,married,tertiary,0,491,1,0,cellular,11,144,2,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626,0,0,72.0,0.2857142857142857,0,0,2,2
93,labeled,28,student,single,secondary,0,11555,0,0,cellular,8,125,2,-1,0,unknown,0,4,spring,0.8660254037844387,-0.4999999999999998,0.9987165071710528,-0.05064916883871264,1,0,62.5,0.5,0,0,1,5
94,labeled,59,blue-collar,married,secondary,0,5318,1,0,cellular,5,200,3,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.8486442574947509,0.5289640103269624,1,0,66.66666666666667,0.6,0,0,4,4
95,labeled,46,self-employed,married,secondary,0,543,0,0,cellular,12,1181,4,-1,0,unknown,1,8,summer,-0.8660254037844385,-0.5000000000000004,0.6513724827222223,-0.758758122692791,0,0,295.25,0.5,0,0,3,2
96,labeled,45,blue-collar,married,secondary,0,778,1,1,unknown,3,34,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,1,0,34.0,0.16666666666666666,1,0,3,2
97,labeled,44,entrepreneur,married,secondary,0,6657,1,0,cellular,19,354,2,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,0,0,177.0,0.18181818181818182,0,0,2,4
98,labeled,48,services,married,primary,1,-577,1,0,unknown,2,25,7,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,1,0,3.5714285714285716,1.1666666666666667,2,0,3,1
99,labeled,52,entrepreneur,married,primary,0,601,0,0,cellular,21,122,2,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0,1,61.0,0.2857142857142857,0,0,3,2
100,labeled,56,management,married,tertiary,0,327,1,0,unknown,15,127,2,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,63.5,0.4,0,0,4,2
101,labeled,59,retired,married,primary,0,1428,0,0,unknown,18,140,2,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822,0,0,70.0,0.3333333333333333,0,0,4,3
102,labeled,38,entrepreneur,single,secondary,0,2540,0,0,cellular,10,223,1,414,4,failure,1,8,summer,-0.8660254037844385,-0.5000000000000004,0.8978045395707416,-0.4403941515576344,1,0,223.0,0.125,0,0,2,3
104,labeled,47,entrepreneur,married,unknown,0,199,1,0,unknown,6,135,2,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.9377521321470804,0.3473052528448203,1,0,67.5,0.4,0,0,3,2
105,labeled,41,blue-collar,married,secondary,0,774,1,0,cellular,15,432,3,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,144.0,0.6,0,0,2,2
108,labeled,55,blue-collar,married,unknown,0,29,0,0,cellular,13,123,2,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.48530196253108104,-0.8743466161445821,0,0,61.5,0.25,0,0,4,2
109,labeled,44,unemployed,married,tertiary,0,171,0,0,cellular,8,126,2,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.9987165071710528,-0.05064916883871264,1,0,63.0,0.25,0,0,2,2
110,labeled,60,unemployed,divorced,secondary,0,386,1,0,cellular,4,80,1,-1,0,unknown,0,2,winter,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866,1,0,80.0,0.5,0,0,4,2
111,labeled,57,management,married,tertiary,0,0,1,0,cellular,21,67,1,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.8978045395707417,-0.44039415155763423,0,1,67.0,0.09090909090909091,0,0,4,1
112,labeled,39,blue-collar,married,primary,0,13,1,0,unknown,7,109,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.9884683243281114,0.1514277775045767,1,0,109.0,0.2,0,0,2,2
113,labeled,34,admin.,single,secondary,0,6988,1,0,cellular,15,14,5,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,2.8,1.0,0,0,1,4
114,labeled,29,student,single,secondary,0,875,1,0,unknown,7,230,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.9884683243281114,0.1514277775045767,1,0,230.0,0.2,0,0,1,2
115,labeled,35,services,married,secondary,0,149,1,0,unknown,2,563,1,-1,0,unknown,1,6,summer,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,1,0,563.0,0.16666666666666666,0,0,2,2
116,labeled,57,technician,married,secondary,0,287,0,0,cellular,19,151,11,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,-0.651372482722222,-0.7587581226927911,0,0,13.727272727272727,1.375,0,0,4,2
118,labeled,44,entrepreneur,married,tertiary,0,3468,1,1,cellular,28,210,3,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,-0.5712682150947924,0.8207634412072763,0,1,70.0,0.375,1,0,2,3
120,labeled,29,technician,married,secondary,0,453,1,0,cellular,21,130,4,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0,1,32.5,0.5714285714285714,0,0,1,2
121,labeled,36,technician,married,tertiary,0,831,0,0,cellular,28,68,6,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,-0.5712682150947924,0.8207634412072763,0,1,11.333333333333334,0.75,0,0,2,2
122,labeled,34,blue-collar,married,secondary,0,329,1,0,cellular,20,10,3,-1,0,unknown,0,4,spring,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,0,1,3.3333333333333335,0.75,0,0,1,2
123,labeled,49,technician,divorced,tertiary,0,0,1,0,cellular,12,177,3,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791,0,0,59.0,0.5,0,0,3,1
124,labeled,37,blue-collar,single,primary,0,843,1,0,cellular,15,151,1,352,1,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,151.0,0.2,0,0,2,2
125,labeled,46,management,divorced,tertiary,0,1304,0,0,cellular,11,716,3,-1,0,unknown,1,8,summer,-0.8660254037844385,-0.5000000000000004,0.7907757369376989,-0.6121059825476626,0,0,238.66666666666666,0.375,0,0,3,3
126,labeled,36,management,married,tertiary,0,1844,0,0,unknown,8,362,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.9987165071710528,-0.05064916883871264,1,0,362.0,0.2,0,0,2,3
127,labeled,31,management,single,tertiary,0,61,1,0,cellular,18,175,1,293,5,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,0,0,175.0,0.2,0,0,1,2
128,labeled,26,blue-collar,married,primary,0,5124,1,0,cellular,22,246,3,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.9680771188662041,-0.2506525322587213,0,1,82.0,0.42857142857142855,0,0,1,4
130,labeled,32,blue-collar,single,primary,0,879,0,1,cellular,29,80,8,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,-0.3943558551133187,0.9189578116202306,0,1,10.0,1.1428571428571428,1,0,1,2
131,labeled,46,management,married,tertiary,0,1283,1,0,unknown,27,89,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.72479278722912,0.6889669190756865,0,1,89.0,0.2,0,0,3,3
132,labeled,28,technician,single,secondary,0,392,1,0,cellular,11,15,7,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.7907757369376989,-0.6121059825476626,0,0,2.142857142857143,1.4,0,0,1,2
134,labeled,41,admin.,married,tertiary,0,5424,1,0,unknown,14,149,2,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,74.5,0.4,0,0,2,4
135,labeled,24,admin.,married,secondary,0,299,1,0,cellular,6,209,1,321,1,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,0.9377521321470804,0.3473052528448203,1,0,209.0,0.2,0,0,0,2
136,labeled,30,technician,single,tertiary,0,1187,1,0,cellular,30,284,1,339,1,failure,0,4,spring,0.8660254037844387,-0.4999999999999998,-0.20129852008866114,0.9795299412524943,0,1,284.0,0.25,0,0,1,3
138,labeled,47,management,married,unknown,0,144,0,0,unknown,9,52,1,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,1,0,52.0,0.16666666666666666,0,0,3,2
139,labeled,60,retired,married,secondary,0,68,1,0,unknown,12,113,3,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.6513724827222223,-0.758758122692791,0,0,37.666666666666664,0.6,0,0,4,2
140,labeled,42,technician,divorced,secondary,0,0,1,0,unknown,30,115,6,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.20129852008866114,0.9795299412524943,0,1,19.166666666666668,1.2,0,0,2,1
141,labeled,49,technician,married,tertiary,0,281,1,0,unknown,19,168,4,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.651372482722222,-0.7587581226927911,0,0,42.0,0.8,0,0,3,2
142,labeled,29,student,single,unknown,0,2933,0,0,cellular,11,91,1,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.7907757369376989,-0.6121059825476626,0,0,91.0,0.125,0,0,1,3
145,labeled,34,unemployed,married,secondary,0,0,1,0,cellular,13,172,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.48530196253108104,-0.8743466161445821,0,0,172.0,0.2,0,0,1,1
146,labeled,40,blue-collar,married,primary,0,1403,1,0,telephone,12,58,2,334,1,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,0.6513724827222223,-0.758758122692791,0,0,29.0,0.4,0,0,2,3
147,labeled,30,unemployed,single,tertiary,0,295,0,0,cellular,11,528,3,-1,0,unknown,1,2,winter,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,0,0,176.0,1.5,0,0,1,2
148,labeled,49,unemployed,divorced,secondary,0,58,0,0,cellular,9,218,3,-1,0,unknown,0,7,summer,-0.4999999999999997,-0.8660254037844388,0.9680771188662043,-0.2506525322587204,1,0,72.66666666666667,0.42857142857142855,0,0,3,2
