Year,Kms,Fuel,Transmission,Owner,Seller,Drivetrain,Length,Width,Height,Seating,Real_Price,Predicted_Price
2016,38000,Diesel,Automatic,Second,Individual,RWD,4936,1868,1479,5,38080.0,31358.716613273144
2014,81000,Diesel,Automatic,Second,Individual,FWD,4097,1789,1561,5,16676.8,11071.552522919124
2019,47377,CNG,Manual,First,Individual,FWD,3545,1490,1475,4,4144.0,5250.73776306107
2017,99000,Petrol,Automatic,First,Individual,FWD,3955,1694,1544,5,6664.0,6219.595399391511
2018,35000,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5,32480.0,30314.983839529956
2015,115339,Diesel,Manual,Second,Individual,RWD,3995,1835,1839,7,7056.0,3024.3678027355563
2012,97000,Diesel,Manual,Second,Individual,RWD,4705,1840,1850,7,13720.0,16502.810052921563
2014,50000,Petrol,Automatic,First,Individual,FWD,3990,1680,1505,5,4871.9888,5022.988467118253
2014,76000,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5,4088.0,4235.815794753375
2018,39000,Petrol,Automatic,First,Individual,FWD,3995,1745,1510,5,8680.0,8214.540413445126
2017,50000,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,8848.0,8570.754474443927
2018,85000,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,9520.0,8914.223905916913
2017,30000,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5,5544.0,5395.208203424028
2018,45000,Diesel,Automatic,First,Individual,AWD,4360,2120,1635,5,40320.0,41690.50290546938
2021,30229,Diesel,Automatic,First,Individual,FWD,4598,1894,1706,5,25211.2,27694.07746096156
2013,47000,Petrol,Manual,First,Individual,FWD,3999,1765,1708,5,6160.0,4352.94699579157
2012,95000,Diesel,Automatic,First,Individual,AWD,4355,2120,1635,5,24080.0,23145.72274955721
2018,26807,Petrol,Manual,Second,Individual,RWD,3675,1475,1800,5,3673.6,5561.197496351414
2017,42000,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5,7000.0,6977.432109275461
2018,58590,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7,12488.0,13771.493091244358
2021,7000,Petrol,Automatic,First,Individual,FWD,4315,1800,1645,5,22120.0,20690.08143537137
2021,12000,Diesel,Manual,First,Individual,FWD,4315,1800,1637,5,18480.0,17728.192301211227
2021,35500,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5,7123.2,8060.428075836231
2019,15529,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5,32480.0,35889.32074523688
2016,35000,Diesel,Automatic,Second,Individual,FWD,4315,1822,1695,5,7728.0,16486.60317037955
2021,28000,Petrol,Manual,First,Corporate,FWD,3994,1758,1572,5,7000.0,10371.295221941395
2018,36000,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,8344.0,8677.195303576455
2018,122000,Diesel,Automatic,First,Individual,RWD,4695,1815,1840,7,22344.0,19325.583092099925
2019,26000,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5,6608.0,6725.5879764265
2018,18000,Petrol,Manual,First,Individual,FWD,3545,1490,1475,5,4368.0,3843.0744130547614
2016,40500,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5,25200.0,20492.019611343956
2017,49013,Petrol,Automatic,First,Individual,FWD,4440,1695,1495,5,9688.0,9076.13814841427
2017,71000,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,8008.0,8450.284675690615
2016,57983,Petrol,Manual,First,Individual,FWD,4270,1780,1630,5,9912.0,9327.488986400089
2011,65000,Diesel,Manual,First,Individual,FWD,3995,1695,1555,5,3080.0,3540.042304331568
2020,44300,Petrol,Automatic,First,Individual,FWD,3695,1600,1560,5,7156.8,6630.220091890835
2014,45000,Diesel,Automatic,First,Individual,RWD,4596,1770,1447,5,16240.0,16142.43907601691
2012,25500,Petrol,Automatic,Second,Corporate,AWD,4649,1860,1366,5,40880.0,26988.12923467183
2018,173000,Diesel,Manual,First,Individual,RWD,4795,1855,1835,7,36400.0,29068.468687502093
2012,40000,Petrol,Automatic,Second,Individual,FWD,4440,1695,1485,5,5320.0,5460.124440611217
2009,135797,Petrol,Manual,Second,Individual,FWD,3565,1595,1550,5,1904.0,1849.609090817795
2016,57000,Diesel,Manual,First,Individual,FWD,4490,1730,1485,5,8120.0,7581.884104787773
2015,78000,CNG,Manual,First,Individual,FWD,3395,1490,1475,5,3236.8,3235.6571907907996
2016,51834,Petrol,Manual,Second,Individual,FWD,4440,1695,1495,5,8176.0,7608.252766251378
2010,32000,Petrol,Manual,First,Individual,FWD,3900,1695,1535,5,2184.0,2800.2595536823087
2014,71796,Diesel,Automatic,Third,Individual,AWD,4385,1831,1608,5,16240.0,18170.214175856272
2010,73000,Petrol,Manual,Second,Individual,FWD,4420,1695,1480,5,3012.8,3312.608131484621
2020,26497,Petrol,Manual,Second,Individual,FWD,4440,1695,1495,5,13428.8,11407.361087120591
2017,92000,Diesel,Manual,Second,Individual,FWD,4490,1730,1485,5,7280.0,7624.205695028807
2022,7000,Petrol,Manual,First,Individual,RWD,3675,1475,1825,7,7000.0,7854.189169513849
2018,76000,Diesel,Automatic,First,Individual,FWD,4270,1780,1630,5,13328.0,13720.304302228875
2017,27000,Petrol,Manual,First,Individual,FWD,3785,1635,1485,5,3024.0,4817.07811480703
2018,43000,Diesel,Automatic,First,Individual,FWD,3840,1735,1530,5,7828.8,9072.430552823398
2015,55000,Diesel,Manual,Second,Individual,FWD,3995,1695,1555,5,5151.9888,5294.547566052868
2019,73000,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7,39188.8,35404.43363795885
2016,20000,Diesel,Automatic,First,Individual,AWD,4600,2069,1690,7,43680.0,35703.70893513641
2018,35123,Diesel,Manual,First,Individual,RWD,4735,1830,1795,8,22344.0,24729.260948253654
2014,35000,Petrol,Automatic,First,Individual,FWD,3600,1600,1560,5,4200.0,4070.020140097836
2020,7000,Diesel,Manual,First,Individual,FWD,4300,1790,1635,5,18480.0,17148.208866544563
2016,117048,Diesel,Manual,First,Individual,FWD,4386,1699,1466,5,8344.0,6833.470588637084
2013,45000,Petrol,Manual,First,Individual,FWD,3515,1500,1510,5,3528.0,2857.532954678913
2020,18000,CNG,Manual,First,Individual,FWD,3805,1680,1520,5,7784.0,7306.523396344042
2020,24013,Petrol,Manual,First,Individual,FWD,3995,1770,1605,5,11088.0,10435.619304710162
2021,40000,Diesel,Automatic,First,Individual,AWD,4985,1926,1867,6,44240.0,42759.556619307186
2014,56918,Petrol,Automatic,Second,Individual,FWD,3825,1665,1530,5,5488.0,4601.312869887521
2013,95000,Diesel,Manual,Second,Individual,AWD,4695,1815,1840,7,14560.0,9355.132966224752
2012,18954,Petrol,Manual,First,Individual,FWD,3585,1595,1550,5,2855.9888,3240.1912428178994
2015,31000,Petrol,Manual,First,Individual,FWD,3545,1490,1475,5,3304.0,2899.68888456283
2016,66000,Diesel,Automatic,First,Individual,FWD,4270,1780,1630,5,10360.0,12025.400649105684
2017,39000,Petrol,Manual,First,Corporate,FWD,3999,1734,1601,5,6496.0,8384.118748877669
2020,31348,Diesel,Manual,First,Individual,FWD,3995,1821,1627,5,14548.8,10751.677554660633
2017,48000,Diesel,Automatic,Second,Individual,RWD,5063,1860,1494,5,46480.0,36829.16183727906
2018,42313,Petrol,Automatic,Second,Individual,FWD,3429,1560,1541,5,3584.0,4169.619512323047
2017,44100,Petrol,Automatic,First,Corporate,FWD,3995,1695,1555,5,6664.0,8100.94793908347
2016,45000,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,7560.0,8372.635926654184
2021,15000,CNG,Manual,First,Individual,FWD,3655,1620,1675,5,7560.0,7022.070917938245
2012,89311,Diesel,Automatic,First,Individual,FWD,4635,1865,1484,5,11143.9888,10336.790291543242
2017,58000,Petrol,Automatic,First,Individual,FWD,3995,1735,1515,5,7000.0,7502.235090546907
2019,34000,Diesel,Automatic,First,Individual,AWD,4892,1860,1837,7,40880.0,37359.696560255106
2020,16519,Petrol,Automatic,First,Corporate,FWD,4425,1863,1652,5,49280.0,29943.49097739854
2015,39234,Diesel,Manual,Second,Individual,RWD,4107,1745,1880,7,5880.0,7046.605919519286
2020,58100,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5,7280.0,7580.557012384867
2015,114635,Diesel,Manual,First,Individual,FWD,4440,1695,1495,5,5880.0,5782.621123904488
2014,79081,Diesel,Manual,First,Individual,FWD,4384,1699,1466,5,4871.9888,5456.941460934002
2014,89000,Diesel,Manual,First,Individual,FWD,3995,1695,1555,5,6160.0,5004.589719965911
2014,25704,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5,5208.0,4643.6684801277015
2015,43297,Petrol,Manual,First,Individual,FWD,3599,1495,1700,5,4368.0,3725.2023780885215
2017,65000,Diesel,Manual,First,Individual,FWD,3985,1734,1505,5,6843.2,6929.975338969621
2019,40900,Petrol,Automatic,First,Corporate,FWD,4425,1730,1495,5,12208.0,12249.952125838445
2010,72000,Diesel,Manual,First,Individual,FWD,3795,1680,1427,5,2688.0,4396.148949271745
2014,114000,Petrol,Manual,Second,Individual,FWD,3620,1475,1460,5,2800.0,2948.9521886960883
2019,34000,Diesel,Automatic,First,Individual,AWD,4903,1869,1837,7,36400.0,39834.53330419503
2013,37000,Diesel,Manual,First,Individual,FWD,3995,1695,1555,5,6272.0,3744.2768995470115
2009,72000,CNG,Manual,Second,Individual,FWD,3565,1525,1590,5,1624.0,1795.6180717087934
2014,46000,Petrol,Manual,First,Individual,FWD,3995,1710,1505,5,4312.0,5069.54121646709
2016,60000,Diesel,Automatic,First,Individual,FWD,4933,1874,1455,5,27160.0,28856.993180194375
2015,60000,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5,15120.0,18367.815750719852
2014,69000,Diesel,Automatic,Second,Individual,RWD,4899,2094,1464,5,19600.0,26498.208486610525
2021,15000,Diesel,Manual,First,Individual,FWD,4598,1894,1706,5,21616.0,21842.09995677272
2017,36000,Diesel,Manual,First,Individual,FWD,3995,1735,1515,5,7056.0,6605.432370893026
2016,70500,Diesel,Manual,First,Individual,FWD,3995,1760,1555,5,6104.0,6686.082213087415
2011,62000,Diesel,Automatic,First,Individual,FWD,4701,1826,1427,5,15400.0,13295.473687308911
2021,33000,Petrol,Automatic,First,Individual,FWD,4655,1835,1760,5,19600.0,21778.391497109973
2021,18105,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5,8568.0,6459.646031149136
2019,25000,Petrol,Automatic,First,Individual,FWD,3995,1745,1510,5,8848.0,8352.798090262328
2022,31000,Diesel,Automatic,First,Individual,AWD,4695,1890,1755,7,30800.0,39769.66016693082
2013,39000,Petrol,Manual,First,Individual,FWD,3970,1682,1453,5,4200.0,4932.74942991304
2019,27469,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5,6776.0,7803.927871011945
2019,50000,Petrol,Automatic,First,Individual,FWD,4370,1700,1475,5,12600.0,12726.474734622172
2015,34303,Diesel,Automatic,Second,Individual,FWD,3982,1727,1425,5,28000.0,18350.84622078937
2020,7520,Petrol,Manual,First,Individual,FWD,3429,1560,1541,5,4760.0,5417.732825283268
2019,60888,Diesel,Manual,First,Individual,FWD,3995,1821,1627,5,10360.0,10781.018712927647
2017,64000,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5,7224.0,8119.38173986618
2020,41736,Diesel,Automatic,First,Individual,AWD,4395,1818,1640,5,21280.0,28093.08482604813
2019,56000,CNG,Manual,First,Individual,FWD,3395,1490,1475,5,4368.0,5164.546660840086
2014,67000,Petrol,Automatic,First,Individual,FWD,3990,1680,1505,5,4368.0,4943.961523947758
2018,42855,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5,9352.0,9122.04394142703
2017,48069,Petrol,Automatic,First,Individual,FWD,3995,1695,1555,5,8400.0,6909.930434964854
2017,16800,Petrol,Manual,First,Individual,FWD,3545,1490,1475,5,4132.8,3305.905486538028
2014,80000,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5,27440.0,20004.895260566023
2016,64928,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5,5880.0,5431.486285050084
2017,42000,Petrol,Manual,First,Individual,FWD,3785,1635,1485,5,2688.0,4632.695064057567
2013,71000,Diesel,Manual,First,Individual,FWD,4370,1700,1475,5,4480.0,4751.659355542461
2015,155000,Diesel,Manual,First,Individual,RWD,4655,1965,1922,7,8288.0,9544.762889674252
2020,12905,Petrol,Manual,First,Individual,FWD,3995,1775,1505,5,12656.0,10188.328739998098
2016,57000,Diesel,Automatic,First,Individual,AWD,4629,1898,1653,5,30128.0,28382.934162787315
2021,16000,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5,8008.0,9054.674535560856
2019,56500,Diesel,Automatic,First,Individual,FWD,4424,1804,1494,5,30800.0,29266.50795442845
2018,65000,Diesel,Manual,First,Individual,RWD,4788,1903,1791,7,9520.0,17813.35765336559
2019,17000,Petrol,Manual,First,Individual,FWD,4315,1800,1645,5,17360.0,11988.879607144427
2015,50623,Diesel,Automatic,Second,Individual,AWD,4465,1900,1635,5,27988.8,30295.546067151292
2020,40000,Petrol,Manual,First,Individual,FWD,3395,1490,1475,5,3976.0,5133.0178928879395
2013,58000,Petrol,Manual,First,Individual,FWD,4384,1699,1466,5,4032.0,4086.015503849791
2017,24000,Petrol,Manual,First,Individual,FWD,3429,1560,1541,5,2217.6,3276.9084261452404
2013,80000,Diesel,Automatic,Second,Individual,RWD,4899,2094,1464,5,17920.0,18745.281097017923
2017,49000,Petrol,Automatic,Second,Individual,RWD,4735,1830,1795,7,20047.9888,19700.249528676966
2018,25000,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7,37520.0,37986.293195978746
2019,57993,Petrol,Automatic,First,Individual,FWD,3545,1490,1475,5,4816.0,5510.1976639182085
2009,56400,Petrol,Manual,Third,Individual,FWD,3565,1525,1590,5,1579.2,1553.8845135144743
2018,87001,Diesel,Manual,First,Individual,FWD,4375,1700,1475,5,10808.0,9922.677304724484
2016,50000,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,7560.0,8372.635926654184
2021,16000,Petrol,Automatic,First,Individual,FWD,4315,1800,1645,5,18200.0,19474.040637611244
2013,34000,Petrol,Automatic,First,Individual,FWD,3585,1595,1550,5,4200.0,3720.954186605434
2016,48000,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5,31080.0,26802.36245965649
2015,138000,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7,12040.0,8706.97924498668
2017,44000,Diesel,Manual,First,Individual,RWD,3995,1835,1839,7,8792.0,3875.884288297292
2022,4500,Diesel,Automatic,First,Individual,AWD,3985,1820,1844,4,21840.0,22721.12743613076
2014,82000,Diesel,Automatic,Second,Individual,AWD,4648,1881,1661,5,21840.0,19707.987124302355
2016,39000,Diesel,Manual,First,Individual,FWD,4296,1695,1685,7,10863.9888,8081.4241851799325
2011,90000,Diesel,Manual,Second,Individual,FWD,3995,1695,1555,5,2912.0,3693.0478025028146
2019,48000,Diesel,Automatic,First,Individual,FWD,4726,1842,1427,5,38080.0,36903.901611675334
2018,30000,Petrol,Automatic,First,Individual,FWD,4270,1780,1665,5,14504.0,14142.190408674238
2013,42000,Diesel,Manual,First,Individual,FWD,3995,1695,1555,5,3931.2,3994.9976728965903
2022,27800,Diesel,Manual,First,Individual,FWD,4300,1790,1635,5,18200.0,18476.400203003337
2015,70000,Petrol,Automatic,First,Individual,FWD,3600,1600,1560,5,4368.0,4684.697489090218
2020,32005,Diesel,Automatic,Second,Individual,RWD,4454,1798,1545,5,36400.0,33817.15921849946
2017,58000,Petrol,Automatic,First,Individual,FWD,4933,1874,1455,5,31920.0,31703.22924471602
2019,56881,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5,10920.0,10666.33811464151
2018,79800,Diesel,Manual,First,Individual,FWD,4375,1700,1475,5,8948.8,10182.055001678415
2021,4400,Petrol,Automatic,First,Individual,AWD,3985,1820,1844,4,19152.0,22695.41534317474
2013,65000,Petrol,Manual,First,Individual,FWD,3970,1682,1453,5,4312.0,4471.746290772682
2020,40910,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5,34160.0,32456.04599757083
2008,95200,Diesel,Automatic,First,Corporate,RWD,4581,1770,1447,5,5544.0,10409.797428534412
2014,82000,CNG,Manual,First,Individual,FWD,3599,1495,1700,5,3472.0,3979.9625729245536
2016,88000,Diesel,Manual,First,Individual,FWD,3995,1745,1500,5,6160.0,6439.32298860915
2014,23000,Petrol,Manual,First,Individual,FWD,3995,1710,1505,5,5040.0,4876.844279274594
2021,17000,Petrol,Automatic,First,Individual,FWD,4405,1818,1640,5,30240.0,24592.49741743771
2019,34000,Petrol,Manual,First,Individual,FWD,4490,1730,1485,5,10192.0,8498.05942689627
2015,92000,CNG,Manual,Second,Individual,FWD,3599,1495,1700,5,3348.8,3945.453437896256
2012,48568,Petrol,Manual,First,Individual,FWD,3585,1595,1550,5,2800.0,3224.7007490079645
2019,46301,Diesel,Manual,First,Individual,FWD,4655,1835,1760,5,18043.2,20284.90096880311
2022,75,Petrol,Automatic,First,Individual,FWD,4695,1890,1755,7,30968.0,29322.380780240364
2022,10000,Petrol,Automatic,First,Individual,AWD,3985,1820,1844,4,18480.0,22294.127463047025
2012,130000,Diesel,Manual,First,Individual,FWD,4386,1699,1466,5,3920.0,4182.943101630565
2015,60798,Petrol,Manual,First,Individual,FWD,4490,1730,1485,5,6384.0,6674.227913665317
2017,40000,Petrol,Automatic,First,Individual,FWD,3995,1745,1500,5,7392.0,7845.328568103869
2018,38000,Diesel,Manual,First,Individual,RWD,4788,1903,1791,7,11200.0,19335.70955821239
2018,66794,Petrol,Manual,First,Individual,FWD,3599,1495,1700,5,4368.0,4432.512198776664
2022,11000,Diesel,Automatic,First,Individual,AWD,3985,1820,1844,4,20440.0,22382.025088752765
2014,85000,Diesel,Manual,Second,Individual,FWD,4620,1775,1475,5,7616.0,6653.3977008264565
2019,46027,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5,7784.0,6507.910770239499
2018,55221,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5,5431.9888,5457.504419836318
2017,36000,Petrol,Automatic,First,Individual,FWD,3700,1690,1595,5,6272.0,6178.766800946792
2014,75000,Diesel,Manual,First,Individual,FWD,3990,1680,1505,5,4760.0,4510.28265089481
2016,7000,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5,31920.0,29431.157856022648
2019,42356,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5,6944.0,7505.376695017136
2016,80000,Petrol,Automatic,First,Individual,FWD,3955,1694,1544,5,6664.0,6416.278528876402
2018,20251,Petrol,Manual,First,Individual,FWD,3994,1811,1607,5,8512.0,6511.67793248512
2018,43000,Petrol,Manual,First,Individual,FWD,3636,1475,1670,5,5040.0,4883.604406961776
2019,32000,Petrol,Manual,First,Individual,FWD,3793,1665,1587,5,5880.0,5650.171028412947
2017,81802,Diesel,Automatic,Second,Individual,FWD,4933,1874,1455,5,26880.0,33424.0489985952
2016,45000,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5,5040.0,5474.25810660311
2016,88000,Diesel,Automatic,Second,Individual,AWD,5052,1968,1740,7,42000.0,38321.35808866596
2013,68000,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5,4088.0,3736.1949833955987
2011,78000,Petrol,Automatic,Second,Individual,RWD,4868,1854,1471,5,10976.0,10231.659751082703
2019,31000,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5,47880.0,45365.194842295154
2018,42601,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5,6820.8,7191.724446621144
2011,65000,Petrol,Automatic,Second,Individual,RWD,4879,1854,1474,5,10640.0,11191.993391985972
2017,42000,Petrol,Automatic,First,Individual,FWD,4726,1842,1427,5,33600.0,26494.606289143798
2014,54420,Petrol,Manual,First,Individual,FWD,3620,1475,1460,5,3024.0,2955.9691377527924
2015,138314,Diesel,Manual,First,Individual,FWD,4270,1780,1630,5,9968.0,8798.178535645899
2021,24000,Petrol,Automatic,First,Individual,FWD,3845,1735,1530,5,8680.0,9019.167634266805
2015,69000,Diesel,Automatic,First,Individual,RWD,4936,1868,1479,5,24068.8,29029.862103936586
2022,18000,Diesel,Automatic,First,Individual,FWD,4695,1890,1755,7,28448.0,29900.798604428797
2019,9576,Petrol,Automatic,First,Individual,FWD,4270,1780,1665,5,16520.0,15899.697119691029
2019,81300,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,9240.0,10792.287929361073
2016,72114,Diesel,Manual,First,Individual,FWD,3985,1734,1505,5,7000.0,6610.526708049002
2018,36000,Diesel,Automatic,First,Individual,FWD,4933,1874,1455,5,48731.2,41587.82893596718
2019,21894,Petrol,Automatic,First,Individual,FWD,4395,1735,1690,7,11088.0,9660.386873684705
2018,43000,Diesel,Automatic,First,Individual,FWD,4585,1890,1785,7,18367.9888,21128.35549294315
2014,81000,Diesel,Automatic,First,Individual,AWD,4781,1911,1774,5,24080.0,26264.81924273746
2014,56000,Diesel,Manual,Third,Individual,FWD,3995,1660,1520,5,2240.0,4229.128444469167
2017,63200,CNG,Manual,First,Individual,FWD,3545,1490,1475,4,3696.0,3706.9191936583493
2015,16205,Petrol,Manual,First,Individual,FWD,3515,1550,1510,5,4032.0,2912.6368943697425
2014,42505,Petrol,Manual,First,Individual,FWD,3395,1490,1475,5,2352.0,3106.0533453932376
2018,65100,Petrol,Automatic,First,Corporate,FWD,4620,1775,1475,5,14504.0,15764.435402561838
2018,55000,Petrol,Automatic,Second,Individual,FWD,4413,1699,1466,5,10080.0,10046.04651072545
2012,20000,Petrol,Manual,First,Individual,FWD,3495,1550,1500,5,2408.0,2870.0601920569293
2015,50000,Diesel,Manual,Second,Individual,FWD,3995,1695,1555,5,5600.0,5293.611004016112
2019,55000,Petrol,Manual,First,Individual,FWD,3995,1745,1510,5,8232.0,7554.160983954403
2015,13716,Petrol,Manual,First,Individual,FWD,3995,1695,1555,5,5544.0,5461.750452729224
2022,3826,Diesel,Automatic,UnRegistered Car,Individual,FWD,4549,1796,1446,5,45920.0,45727.160359515816
2017,85000,Diesel,Automatic,First,Individual,AWD,4819,2141,1796,5,47040.0,41420.47936932396
2022,7500,Petrol,Manual,First,Individual,FWD,3827,1742,1615,5,9968.0,9962.353801336247
2017,39000,Petrol,Automatic,Second,Individual,FWD,4270,1780,1630,5,12264.0,11822.008681151065
2020,56000,Diesel,Manual,First,Individual,FWD,3995,1770,1605,5,12096.0,11001.159590870033
2013,86000,Petrol,Manual,Second,Individual,FWD,4440,1695,1485,5,4200.0,4831.50641914764
2020,28000,Diesel,Manual,First,Individual,AWD,3985,1820,1920,6,17360.0,16141.56224087477
2017,25500,Diesel,Automatic,Second,Individual,AWD,4360,2120,1635,5,44800.0,40250.21427179329
2016,75811,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7,15400.0,9827.724512574909
2018,20000,Diesel,Automatic,First,Individual,FWD,4963,1879,1443,5,46760.0,46907.709906973934
2017,76642,CNG,Manual,First,Individual,FWD,4296,1695,1685,7,8960.0,8666.009651280016
2011,41215,Diesel,Manual,First,Individual,FWD,3640,1595,1520,5,2575.9888,3107.0017832152116
2018,49000,Diesel,Automatic,First,Individual,RWD,4454,2044,1545,5,35000.0,30590.656037817393
2018,25914,Petrol,Automatic,First,Corporate,FWD,4620,1775,1475,5,18480.0,16671.48330255681
2015,145000,Diesel,Automatic,Second,Individual,RWD,4705,1840,1850,7,17920.0,20156.212048897116
2014,80000,Diesel,Automatic,First,Individual,FWD,4530,1775,1470,5,7000.0,8111.613737055715
2021,20000,Diesel,Manual,First,Individual,FWD,4500,1790,1675,7,20708.7888,21218.47746932284
2014,51000,Diesel,Automatic,Second,Individual,AWD,4385,1831,1608,5,14560.0,20398.088661316113
2016,68000,Petrol,Automatic,First,Individual,FWD,3971,1682,1469,5,7000.0,6123.556757427696
2019,31000,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5,7000.0,7690.872880632166
2019,74237,Petrol,Manual,First,Individual,FWD,3995,1695,1501,5,7560.0,7398.121798557188
1988,71000,Petrol,Automatic,Third,Individual,RWD,5063,1860,1494,5,14560.0,13148.287117234375
2016,82844,Diesel,Manual,First,Individual,FWD,3765,1660,1520,5,5151.9888,5010.243802975188
2015,75258,Petrol,Automatic,First,Individual,FWD,4440,1695,1495,5,6608.0,7729.455794812917
2015,76000,Diesel,Manual,First,Individual,FWD,3775,1695,1510,5,7000.0,5260.123230854638
2017,52836,Diesel,Manual,First,Individual,FWD,4300,1765,1590,5,8960.0,7585.373438224652
2021,13424,Petrol,Manual,First,Individual,FWD,3445,1515,1475,5,4591.9888,5118.380342229551
2017,23000,Petrol,Manual,First,Individual,FWD,3995,1695,1525,5,4871.9888,6127.761937133227
2014,100000,Diesel,Manual,Second,Individual,RWD,4456,1820,1995,8,9800.0,10222.553092707545
2012,72000,Diesel,Automatic,UnRegistered Car,Individual,AWD,4385,1831,1608,5,15120.0,15626.605614267064
2011,75000,Diesel,Automatic,First,Individual,FWD,4701,1826,1427,5,10920.0,12488.323817053513
2022,3800,CNG,Manual,First,Individual,FWD,3565,1520,1564,4,6832.0,4930.384087762652
2021,1910,Petrol,Automatic,First,Individual,FWD,3995,1790,1640,5,11760.0,13121.907830053919
2018,33030,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,9632.0,9353.82388581365
2018,95315,Diesel,Manual,Second,Individual,RWD,4735,1830,1795,7,17348.8,22988.95984753759
2016,49148,Petrol,Automatic,Second,Individual,FWD,4265,1695,1685,7,7560.0,8292.042443343433
2014,35000,Diesel,Automatic,First,Individual,RWD,4624,2031,1429,5,15680.0,28574.38528010789
2018,52890,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5,9520.0,8766.543197474382
