id,split,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44,labeled,32,entrepreneur,married,primary,no,798,no,no,cellular,8,aug,131,3,-1,0,unknown,no
45,labeled,48,technician,married,secondary,no,10,no,no,unknown,9,jun,65,6,-1,0,unknown,no
46,labeled,46,entrepreneur,single,tertiary,no,1413,yes,no,cellular,19,nov,93,1,189,8,failure,no
48,labeled,41,blue-collar,married,primary,no,-195,yes,yes,unknown,6,jun,42,1,-1,0,unknown,no
49,labeled,33,blue-collar,single,secondary,no,-313,no,no,cellular,18,may,268,2,-1,0,unknown,no
50,labeled,31,technician,married,secondary,no,167,no,no,cellular,27,aug,81,3,-1,0,unknown,no
53,labeled,35,blue-collar,divorced,secondary,no,270,no,yes,cellular,10,jul,144,5,-1,0,unknown,no
55,labeled,44,self-employed,single,tertiary,no,2726,yes,no,cellular,12,may,897,4,-1,0,unknown,yes
56,labeled,41,technician,married,tertiary,no,186,yes,no,telephone,11,jul,117,2,-1,0,unknown,no
57,labeled,49,self-employed,married,secondary,no,2576,yes,no,cellular,15,may,64,6,-1,0,unknown,no
58,labeled,34,blue-collar,married,secondary,no,8307,yes,yes,cellular,19,nov,50,1,-1,0,unknown,no
59,labeled,31,technician,single,secondary,no,1091,yes,no,unknown,12,jun,93,8,-1,0,unknown,no
61,labeled,41,unemployed,married,tertiary,no,1668,no,no,unknown,9,jun,291,3,-1,0,unknown,no
62,labeled,31,services,married,secondary,no,341,yes,no,cellular,28,jan,155,1,-1,0,unknown,no
63,labeled,34,admin.,married,secondary,no,391,yes,no,cellular,16,jul,101,3,-1,0,unknown,no
64,labeled,43,management,married,primary,no,8171,yes,no,unknown,19,may,114,2,-1,0,unknown,no
65,labeled,48,services,married,secondary,no,124,yes,no,telephone,20,apr,70,4,-1,0,unknown,no
66,labeled,43,technician,married,secondary,no,7870,yes,no,cellular,11,aug,209,2,-1,0,unknown,no
67,labeled,37,self-employed,married,tertiary,no,0,no,no,unknown,6,jun,143,1,-1,0,unknown,no
68,labeled,43,technician,married,secondary,no,49,no,no,unknown,28,may,63,1,-1,0,unknown,no
70,labeled,57,retired,married,primary,no,5807,no,no,unknown,17,jun,97,1,-1,0,unknown,no
72,labeled,50,management,single,primary,no,758,no,no,unknown,17,jun,174,2,-1,0,unknown,no
75,labeled,41,blue-collar,married,secondary,no,4894,yes,no,telephone,31,jul,121,2,-1,0,unknown,no
76,labeled,56,services,married,secondary,no,22201,yes,no,cellular,21,nov,189,1,-1,0,unknown,no
78,labeled,36,services,divorced,secondary,no,1585,no,no,unknown,6,jun,250,3,-1,0,unknown,no
79,labeled,53,technician,married,secondary,no,724,yes,no,unknown,14,may,230,1,-1,0,unknown,no
81,labeled,60,management,married,primary,no,4902,no,no,unknown,9,jun,313,1,-1,0,unknown,no
82,labeled,49,management,married,tertiary,no,851,yes,no,cellular,20,nov,408,1,-1,0,unknown,no
83,labeled,26,entrepreneur,single,tertiary,no,81,no,no,cellular,21,jul,262,3,-1,0,unknown,no
84,labeled,37,management,married,tertiary,no,4041,no,yes,cellular,25,jul,106,2,-1,0,unknown,no
85,labeled,46,blue-collar,married,primary,no,2756,yes,no,cellular,17,nov,332,1,-1,0,unknown,no
86,labeled,38,management,single,tertiary,no,0,yes,no,cellular,17,nov,213,2,-1,0,unknown,no
87,labeled,51,technician,married,secondary,no,468,yes,no,unknown,13,may,213,5,-1,0,unknown,no
88,labeled,34,technician,single,secondary,no,23,no,no,cellular,13,aug,990,1,-1,0,unknown,yes
90,labeled,40,entrepreneur,married,primary,no,0,yes,no,cellular,11,jul,271,2,-1,0,unknown,no
91,labeled,33,blue-collar,married,primary,no,237,yes,yes,cellular,8,may,253,3,-1,0,unknown,no
92,labeled,42,management,married,tertiary,no,491,yes,no,cellular,11,jul,144,2,-1,0,unknown,no
93,labeled,28,student,single,secondary,no,11555,no,no,cellular,8,apr,125,2,-1,0,unknown,no
94,labeled,59,blue-collar,married,secondary,no,5318,yes,no,cellular,5,may,200,3,-1,0,unknown,no
95,labeled,46,self-employed,married,secondary,no,543,no,no,cellular,12,aug,1181,4,-1,0,unknown,yes
96,labeled,45,blue-collar,married,secondary,no,778,yes,yes,unknown,3,jun,34,1,-1,0,unknown,no
97,labeled,44,entrepreneur,married,secondary,no,6657,yes,no,cellular,19,nov,354,2,-1,0,unknown,no
98,labeled,48,services,married,primary,yes,-577,yes,no,unknown,2,jun,25,7,-1,0,unknown,no
99,labeled,52,entrepreneur,married,primary,no,601,no,no,cellular,21,jul,122,2,-1,0,unknown,no
100,labeled,56,management,married,tertiary,no,327,yes,no,unknown,15,may,127,2,-1,0,unknown,no
101,labeled,59,retired,married,primary,no,1428,no,no,unknown,18,jun,140,2,-1,0,unknown,no
102,labeled,38,entrepreneur,single,secondary,no,2540,no,no,cellular,10,aug,223,1,414,4,failure,yes
104,labeled,47,entrepreneur,married,unknown,no,199,yes,no,unknown,6,may,135,2,-1,0,unknown,no
105,labeled,41,blue-collar,married,secondary,no,774,yes,no,cellular,15,may,432,3,-1,0,unknown,no
108,labeled,55,blue-collar,married,unknown,no,29,no,no,cellular,13,aug,123,2,-1,0,unknown,no
109,labeled,44,unemployed,married,tertiary,no,171,no,no,cellular,8,aug,126,2,-1,0,unknown,no
110,labeled,60,unemployed,divorced,secondary,no,386,yes,no,cellular,4,feb,80,1,-1,0,unknown,no
111,labeled,57,management,married,tertiary,no,0,yes,no,cellular,21,nov,67,1,-1,0,unknown,no
112,labeled,39,blue-collar,married,primary,no,13,yes,no,unknown,7,may,109,1,-1,0,unknown,no
113,labeled,34,admin.,single,secondary,no,6988,yes,no,cellular,15,may,14,5,-1,0,unknown,no
114,labeled,29,student,single,secondary,no,875,yes,no,unknown,7,may,230,1,-1,0,unknown,no
115,labeled,35,services,married,secondary,no,149,yes,no,unknown,2,jun,563,1,-1,0,unknown,yes
116,labeled,57,technician,married,secondary,no,287,no,no,cellular,19,aug,151,11,-1,0,unknown,no
118,labeled,44,entrepreneur,married,tertiary,no,3468,yes,yes,cellular,28,aug,210,3,-1,0,unknown,no
120,labeled,29,technician,married,secondary,no,453,yes,no,cellular,21,jul,130,4,-1,0,unknown,no
121,labeled,36,technician,married,tertiary,no,831,no,no,cellular,28,aug,68,6,-1,0,unknown,no
122,labeled,34,blue-collar,married,secondary,no,329,yes,no,cellular,20,apr,10,3,-1,0,unknown,no
123,labeled,49,technician,divorced,tertiary,no,0,yes,no,cellular,12,jun,177,3,-1,0,unknown,no
124,labeled,37,blue-collar,single,primary,no,843,yes,no,cellular,15,may,151,1,352,1,failure,no
125,labeled,46,management,divorced,tertiary,no,1304,no,no,cellular,11,aug,716,3,-1,0,unknown,yes
126,labeled,36,management,married,tertiary,no,1844,no,no,unknown,8,may,362,1,-1,0,unknown,no
127,labeled,31,management,single,tertiary,no,61,yes,no,cellular,18,may,175,1,293,5,failure,no
128,labeled,26,blue-collar,married,primary,no,5124,yes,no,cellular,22,jul,246,3,-1,0,unknown,no
130,labeled,32,blue-collar,single,primary,no,879,no,yes,cellular,29,jul,80,8,-1,0,unknown,no
131,labeled,46,management,married,tertiary,no,1283,yes,no,unknown,27,may,89,1,-1,0,unknown,no
132,labeled,28,technician,single,secondary,no,392,yes,no,cellular,11,may,15,7,-1,0,unknown,no
134,labeled,41,admin.,married,tertiary,no,5424,yes,no,unknown,14,may,149,2,-1,0,unknown,no
135,labeled,24,admin.,married,secondary,no,299,yes,no,cellular,6,may,209,1,321,1,failure,no
136,labeled,30,technician,single,tertiary,no,1187,yes,no,cellular,30,apr,284,1,339,1,failure,no
138,labeled,47,management,married,unknown,no,144,no,no,unknown,9,jun,52,1,-1,0,unknown,no
139,labeled,60,retired,married,secondary,no,68,yes,no,unknown,12,may,113,3,-1,0,unknown,no
140,labeled,42,technician,divorced,secondary,no,0,yes,no,unknown,30,may,115,6,-1,0,unknown,no
141,labeled,49,technician,married,tertiary,no,281,yes,no,unknown,19,may,168,4,-1,0,unknown,no
142,labeled,29,student,single,unknown,no,2933,no,no,cellular,11,aug,91,1,-1,0,unknown,no
145,labeled,34,unemployed,married,secondary,no,0,yes,no,cellular,13,may,172,1,-1,0,unknown,no
146,labeled,40,blue-collar,married,primary,no,1403,yes,no,telephone,12,may,58,2,334,1,failure,no
147,labeled,30,unemployed,single,tertiary,no,295,no,no,cellular,11,feb,528,3,-1,0,unknown,yes
148,labeled,49,unemployed,divorced,secondary,no,58,no,no,cellular,9,jul,218,3,-1,0,unknown,no
149,labeled,32,technician,married,secondary,no,269,yes,no,cellular,19,aug,168,2,-1,0,unknown,no
150,labeled,57,admin.,married,secondary,no,-960,yes,no,telephone,15,may,8,7,-1,0,unknown,no
151,labeled,31,blue-collar,married,secondary,no,184,yes,no,unknown,2,jun,40,1,-1,0,unknown,no
152,labeled,30,services,single,primary,no,78,yes,no,cellular,15,may,317,1,-1,0,unknown,no
153,labeled,45,technician,single,tertiary,no,2090,no,no,cellular,29,aug,29,14,-1,0,unknown,no
154,labeled,51,management,single,tertiary,no,294,yes,no,cellular,15,may,415,4,375,1,failure,yes
155,labeled,36,management,single,secondary,no,0,no,no,cellular,13,aug,333,5,-1,0,unknown,no
156,labeled,34,blue-collar,married,primary,no,-315,yes,yes,cellular,9,jul,134,4,-1,0,unknown,no
157,labeled,50,self-employed,divorced,tertiary,no,53,yes,no,unknown,28,may,67,2,-1,0,unknown,no
158,labeled,44,blue-collar,married,secondary,no,-666,yes,no,unknown,5,may,257,1,-1,0,unknown,no
159,labeled,41,blue-collar,married,secondary,no,343,yes,no,unknown,14,may,89,7,-1,0,unknown,no
160,labeled,35,admin.,single,secondary,no,851,yes,no,cellular,11,may,85,2,-1,0,unknown,no
161,labeled,38,blue-collar,married,secondary,no,5100,yes,no,unknown,17,jun,145,6,-1,0,unknown,no
162,labeled,55,unknown,married,primary,no,158,no,no,unknown,4,sep,15,1,-1,0,unknown,no
163,labeled,48,management,divorced,tertiary,no,1325,yes,no,unknown,6,may,339,1,-1,0,unknown,no
164,labeled,38,technician,married,secondary,no,1003,no,no,unknown,9,jun,119,1,-1,0,unknown,no
165,labeled,38,management,married,tertiary,no,0,yes,no,unknown,20,may,206,1,-1,0,unknown,no
166,labeled,42,admin.,divorced,secondary,no,1813,yes,no,unknown,14,may,150,1,-1,0,unknown,no
167,labeled,44,technician,single,secondary,no,42,yes,no,cellular,13,may,195,3,351,10,failure,no
168,labeled,43,unknown,married,tertiary,no,1942,no,no,unknown,19,jun,385,1,-1,0,unknown,no
169,labeled,53,entrepreneur,married,secondary,no,-121,yes,no,unknown,9,may,101,3,-1,0,unknown,no
170,labeled,41,management,married,tertiary,no,3019,yes,no,cellular,14,jul,80,3,-1,0,unknown,no
171,labeled,26,services,single,secondary,yes,-157,yes,no,cellular,15,may,44,2,-1,0,unknown,no
172,labeled,31,services,married,secondary,no,506,yes,no,unknown,6,jun,19,18,-1,0,unknown,no
173,labeled,36,management,single,tertiary,no,3884,yes,no,unknown,27,may,21,5,-1,0,unknown,no
175,labeled,22,student,single,primary,no,3469,no,no,cellular,20,oct,332,1,183,3,failure,yes
176,labeled,30,blue-collar,married,primary,no,-509,yes,yes,unknown,28,may,244,6,-1,0,unknown,no
177,labeled,49,housemaid,married,primary,no,248,yes,no,cellular,21,nov,450,1,-1,0,unknown,no
178,labeled,30,blue-collar,married,secondary,no,966,yes,no,cellular,13,may,256,2,351,2,failure,no
179,labeled,45,blue-collar,single,primary,no,1005,no,no,cellular,29,jan,182,2,-1,0,unknown,no
181,labeled,33,management,single,tertiary,no,3152,no,no,cellular,29,jun,421,2,-1,0,unknown,yes
182,labeled,36,admin.,married,unknown,no,2326,no,no,cellular,19,nov,111,1,-1,0,unknown,no
183,labeled,32,management,single,tertiary,no,653,yes,yes,cellular,20,apr,148,2,-1,0,unknown,no
184,labeled,34,blue-collar,married,primary,no,87,yes,no,cellular,14,may,406,2,-1,0,unknown,no
185,labeled,53,housemaid,married,primary,no,2584,no,no,cellular,15,apr,99,1,-1,0,unknown,no
188,labeled,52,services,married,secondary,no,432,no,no,cellular,26,aug,73,17,-1,0,unknown,no
189,labeled,29,technician,single,tertiary,no,2485,no,no,telephone,24,jul,48,6,-1,0,unknown,no
190,labeled,48,management,married,primary,no,2533,no,no,cellular,26,aug,219,6,-1,0,unknown,no
193,labeled,57,self-employed,married,secondary,no,11496,no,no,cellular,19,nov,198,1,-1,0,unknown,no
194,labeled,41,management,married,tertiary,no,47,yes,no,cellular,17,jul,312,5,-1,0,unknown,no
195,labeled,46,services,married,secondary,no,446,yes,yes,cellular,13,may,389,4,-1,0,unknown,no
196,labeled,36,technician,married,tertiary,no,0,no,no,cellular,22,aug,147,2,-1,0,unknown,no
199,labeled,34,management,married,tertiary,no,0,yes,no,cellular,7,aug,262,1,99,2,success,yes
200,labeled,34,management,married,secondary,no,0,no,no,cellular,2,feb,270,1,-1,0,unknown,no
201,labeled,49,blue-collar,married,primary,no,942,yes,no,unknown,12,jun,66,1,-1,0,unknown,no
203,labeled,39,management,single,tertiary,no,3796,no,no,cellular,2,jun,96,2,-1,0,unknown,no
204,labeled,39,services,married,secondary,no,237,yes,no,cellular,17,apr,244,2,-1,0,unknown,no
205,labeled,27,blue-collar,single,secondary,no,3799,no,no,cellular,22,apr,279,2,-1,0,unknown,yes
206,labeled,55,management,married,primary,no,2592,no,no,cellular,4,sep,328,2,94,2,success,yes
207,labeled,37,blue-collar,married,primary,no,658,yes,no,cellular,5,feb,127,2,258,4,failure,no
209,labeled,49,management,single,secondary,no,57,yes,no,cellular,29,jan,185,2,246,1,failure,no
210,labeled,48,management,divorced,tertiary,no,516,yes,no,cellular,9,apr,528,1,-1,0,unknown,no
211,labeled,42,management,married,secondary,no,-193,yes,no,unknown,12,may,247,2,-1,0,unknown,no
213,labeled,40,blue-collar,married,primary,no,1197,no,yes,telephone,16,jul,201,5,-1,0,unknown,no
214,labeled,31,blue-collar,single,primary,no,860,yes,no,telephone,14,may,113,2,-1,0,unknown,no
215,labeled,31,management,married,tertiary,no,0,no,no,unknown,14,may,298,1,-1,0,unknown,no
216,labeled,50,technician,married,secondary,no,0,no,no,cellular,7,jul,152,2,-1,0,unknown,no
217,labeled,41,management,married,tertiary,no,773,yes,no,cellular,26,aug,106,8,-1,0,unknown,no
218,labeled,43,blue-collar,married,primary,no,182,yes,no,cellular,12,may,58,3,347,5,failure,no
219,labeled,40,technician,married,secondary,no,53,yes,yes,cellular,29,jan,194,1,247,1,failure,no
220,labeled,30,admin.,married,secondary,no,20,yes,no,cellular,11,may,157,1,-1,0,unknown,no
221,labeled,31,unknown,divorced,tertiary,no,137,no,no,cellular,22,aug,385,9,-1,0,unknown,no
222,labeled,45,services,divorced,secondary,no,-180,no,no,unknown,3,jul,155,2,-1,0,unknown,no
223,labeled,54,blue-collar,married,primary,no,207,no,no,unknown,19,jun,200,2,-1,0,unknown,no
225,labeled,51,technician,married,secondary,no,509,yes,no,cellular,20,nov,26,6,-1,0,unknown,no
229,labeled,44,technician,divorced,secondary,no,0,no,no,cellular,28,jul,264,5,-1,0,unknown,no
230,labeled,32,management,single,tertiary,no,119,yes,no,cellular,5,may,118,1,-1,0,unknown,no
231,labeled,27,management,single,tertiary,no,451,no,no,cellular,23,jun,205,3,-1,0,unknown,no
232,labeled,43,unemployed,divorced,secondary,no,1585,yes,no,cellular,19,nov,87,1,-1,0,unknown,no
233,labeled,32,management,single,tertiary,no,142,yes,no,unknown,6,may,118,1,-1,0,unknown,no
236,labeled,35,services,single,secondary,no,422,yes,no,cellular,20,apr,11,5,319,2,other,no
237,labeled,53,technician,married,primary,no,6837,yes,no,cellular,19,nov,77,1,-1,0,unknown,no
238,labeled,38,admin.,married,tertiary,no,1996,no,no,cellular,27,mar,164,2,130,2,failure,yes
239,labeled,42,management,married,tertiary,no,1197,no,no,telephone,8,sep,376,2,-1,0,unknown,yes
240,labeled,36,technician,married,tertiary,no,69,no,no,cellular,19,aug,209,2,-1,0,unknown,no
241,labeled,24,technician,single,secondary,no,-55,yes,no,unknown,19,may,23,1,-1,0,unknown,no
242,labeled,46,management,single,tertiary,no,588,yes,no,cellular,29,jan,190,3,-1,0,unknown,no
243,labeled,52,blue-collar,married,primary,no,1336,yes,no,cellular,29,jul,213,2,-1,0,unknown,no
244,labeled,35,management,single,tertiary,no,2983,yes,no,cellular,25,may,179,1,-1,0,unknown,no
245,labeled,25,admin.,married,secondary,no,14,yes,no,cellular,18,jul,225,1,-1,0,unknown,no
246,labeled,50,blue-collar,married,secondary,no,574,no,no,cellular,26,aug,83,4,-1,0,unknown,no
250,labeled,23,blue-collar,single,primary,no,8618,yes,no,cellular,15,may,169,1,346,1,failure,no
252,labeled,24,student,single,secondary,no,514,yes,no,telephone,18,may,12,3,374,1,other,no
253,labeled,33,blue-collar,single,primary,no,589,yes,no,unknown,21,may,29,1,-1,0,unknown,no
254,labeled,43,blue-collar,married,secondary,no,3062,yes,no,unknown,15,may,253,2,-1,0,unknown,no
255,labeled,31,blue-collar,married,secondary,no,0,no,yes,telephone,15,jul,275,2,-1,0,unknown,no
256,labeled,66,retired,married,tertiary,no,1938,no,no,cellular,28,jan,216,1,91,4,success,yes
257,labeled,32,technician,married,secondary,no,482,no,no,cellular,26,aug,98,14,-1,0,unknown,no
260,labeled,41,technician,single,secondary,no,-48,yes,yes,cellular,3,apr,154,1,-1,0,unknown,no
261,labeled,24,student,single,secondary,no,1841,no,no,cellular,9,dec,390,1,-1,0,unknown,no
262,labeled,31,admin.,married,secondary,no,219,yes,no,cellular,18,jul,191,3,-1,0,unknown,no
263,labeled,45,unemployed,married,primary,no,183,yes,yes,unknown,27,may,62,2,-1,0,unknown,no
264,labeled,51,services,married,unknown,no,5800,yes,no,unknown,29,may,147,2,-1,0,unknown,no
265,labeled,32,technician,single,tertiary,no,741,yes,no,cellular,11,aug,238,1,-1,0,unknown,no
267,labeled,45,services,divorced,primary,no,3863,yes,no,unknown,20,jun,10,3,-1,0,unknown,no
268,labeled,44,management,divorced,tertiary,no,469,yes,yes,unknown,26,may,127,2,-1,0,unknown,no
269,labeled,21,services,single,secondary,no,359,no,no,telephone,5,jun,329,1,95,1,other,no
271,labeled,37,services,single,secondary,no,1184,yes,no,cellular,15,may,102,1,333,2,failure,no
272,labeled,47,blue-collar,married,secondary,yes,-610,yes,no,unknown,26,may,118,2,-1,0,unknown,no
274,labeled,38,admin.,married,primary,no,3918,yes,no,cellular,20,apr,196,2,315,2,failure,no
275,labeled,36,blue-collar,divorced,secondary,no,-144,yes,no,unknown,26,may,222,2,-1,0,unknown,no
276,labeled,46,blue-collar,married,secondary,no,130,no,no,unknown,20,jun,252,3,-1,0,unknown,no
277,labeled,56,technician,married,secondary,no,211,no,yes,cellular,23,jul,442,2,-1,0,unknown,no
279,labeled,51,technician,married,primary,no,1549,no,no,unknown,20,jun,12,5,-1,0,unknown,no
280,labeled,39,entrepreneur,married,tertiary,no,2640,yes,no,unknown,20,may,253,1,-1,0,unknown,no
281,labeled,54,services,married,secondary,no,-24,no,yes,cellular,9,jul,85,1,-1,0,unknown,no
282,labeled,40,blue-collar,married,secondary,no,1005,yes,no,cellular,6,may,410,1,-1,0,unknown,no
283,labeled,49,blue-collar,married,primary,no,367,no,no,unknown,26,may,59,2,-1,0,unknown,no
284,labeled,56,management,married,tertiary,no,3173,yes,no,cellular,5,feb,139,1,-1,0,unknown,no
285,labeled,28,blue-collar,married,secondary,no,68,yes,no,unknown,13,may,160,3,-1,0,unknown,no
286,labeled,38,blue-collar,married,secondary,no,169,yes,yes,unknown,20,may,172,1,-1,0,unknown,no
287,labeled,44,blue-collar,married,secondary,no,510,yes,no,cellular,20,apr,222,1,154,1,failure,no
288,labeled,32,blue-collar,single,secondary,no,136,yes,no,cellular,18,may,232,2,-1,0,unknown,no
289,labeled,59,retired,divorced,secondary,no,5850,no,no,cellular,14,may,1060,2,-1,0,unknown,yes
290,labeled,26,admin.,single,secondary,no,320,yes,no,cellular,22,jul,242,7,-1,0,unknown,no
291,labeled,43,blue-collar,married,unknown,yes,-722,yes,no,unknown,30,may,67,3,-1,0,unknown,no
292,labeled,41,management,married,tertiary,no,3875,no,no,cellular,15,oct,231,1,-1,0,unknown,no
293,labeled,38,unemployed,married,primary,no,1142,yes,yes,unknown,8,may,249,5,-1,0,unknown,no
294,labeled,53,technician,divorced,secondary,no,322,no,no,cellular,9,jul,175,1,-1,0,unknown,no
296,labeled,32,blue-collar,married,secondary,no,29,yes,no,cellular,5,may,321,2,-1,0,unknown,no
297,labeled,49,unknown,married,secondary,no,0,no,no,cellular,28,aug,173,2,-1,0,unknown,no
298,labeled,48,management,married,tertiary,no,992,yes,no,cellular,29,jan,121,3,-1,0,unknown,no
299,labeled,25,services,single,secondary,no,362,no,no,telephone,25,jul,168,1,-1,0,unknown,no
300,labeled,51,management,married,tertiary,no,179,yes,yes,unknown,1,jun,8,1,687,2,failure,no
304,labeled,30,admin.,single,secondary,no,74,yes,no,cellular,6,aug,121,6,112,3,other,no
305,labeled,35,technician,married,secondary,no,2190,no,no,cellular,19,nov,256,3,-1,0,unknown,no
306,labeled,31,services,single,secondary,no,2068,no,no,cellular,29,aug,319,2,-1,0,unknown,no
307,labeled,34,management,married,tertiary,no,1004,yes,yes,cellular,21,nov,81,1,-1,0,unknown,no
308,labeled,37,entrepreneur,married,tertiary,no,4802,yes,no,unknown,20,may,156,2,-1,0,unknown,no
311,labeled,36,management,married,tertiary,no,-379,yes,no,cellular,31,jul,30,29,-1,0,unknown,no
312,labeled,45,blue-collar,married,secondary,no,109,no,no,cellular,11,aug,209,4,-1,0,unknown,no
313,labeled,58,retired,married,secondary,no,502,yes,no,cellular,12,may,197,2,370,3,failure,no
314,labeled,34,services,divorced,secondary,no,989,yes,no,cellular,6,may,89,1,344,1,failure,no
315,labeled,53,technician,married,secondary,no,9146,no,no,cellular,13,aug,136,4,-1,0,unknown,no
316,labeled,53,entrepreneur,married,primary,no,24,yes,no,telephone,10,sep,230,3,-1,0,unknown,yes
317,labeled,49,blue-collar,single,primary,no,2146,yes,no,cellular,7,may,1516,2,353,2,other,yes
318,labeled,36,blue-collar,divorced,primary,no,112,yes,no,unknown,2,jun,123,4,-1,0,unknown,no
319,labeled,28,blue-collar,single,secondary,no,514,no,yes,cellular,8,jul,681,1,-1,0,unknown,yes
323,labeled,45,technician,divorced,secondary,no,809,yes,no,cellular,13,may,155,2,363,4,failure,no
324,labeled,35,self-employed,married,secondary,no,8874,no,no,cellular,21,nov,33,3,-1,0,unknown,no
325,labeled,35,management,married,tertiary,no,1251,yes,no,unknown,19,may,210,2,-1,0,unknown,no
327,labeled,29,technician,single,tertiary,no,405,yes,no,cellular,17,jul,119,1,-1,0,unknown,no
328,labeled,36,admin.,single,tertiary,no,970,no,no,cellular,11,nov,118,4,104,7,failure,no
331,labeled,57,technician,married,unknown,no,215,yes,no,unknown,5,may,216,3,-1,0,unknown,no
332,labeled,74,retired,married,secondary,no,911,no,no,telephone,17,apr,394,2,-1,0,unknown,yes
333,labeled,26,services,single,secondary,no,255,yes,no,cellular,4,may,101,2,-1,0,unknown,no
334,labeled,28,student,single,secondary,no,153,no,no,cellular,23,jul,1124,2,-1,0,unknown,yes
335,labeled,40,admin.,single,secondary,no,2378,yes,no,unknown,2,jun,65,1,-1,0,unknown,no
336,labeled,31,blue-collar,single,secondary,no,-223,yes,no,unknown,30,may,66,2,-1,0,unknown,no
337,labeled,26,admin.,single,secondary,no,3521,no,yes,cellular,7,sep,57,2,-1,0,unknown,no
338,labeled,35,management,married,tertiary,no,4282,yes,no,unknown,9,may,357,1,-1,0,unknown,no
339,labeled,33,management,married,secondary,no,3125,yes,no,unknown,23,may,350,5,-1,0,unknown,no
